Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.01,0.7886,0.5583,0.5899,0.5689
alpha:0.02,0.7899,0.5601,0.5905,0.5701
alpha:0.03,0.7926,0.5624,0.5933,0.5725
alpha:0.04,0.7926,0.5624,0.5933,0.5725
alpha:0.05,0.7912,0.5605,0.5927,0.5714
alpha:0.06,0.7912,0.5605,0.5927,0.5714
alpha:0.07,0.7912,0.5605,0.5927,0.5714
alpha:0.08,0.7912,0.5605,0.5927,0.5714
alpha:0.09,0.7912,0.5605,0.5927,0.5714
alpha:0.1,0.7912,0.5605,0.5927,0.5714
alpha:0.11,0.7912,0.5605,0.5927,0.5714
alpha:0.12,0.7912,0.5605,0.5927,0.5714
alpha:0.13,0.7912,0.5605,0.5927,0.5714
alpha:0.14,0.7912,0.5605,0.5927,0.5714
alpha:0.15,0.7912,0.5605,0.5927,0.5714
alpha:0.16,0.7912,0.5605,0.5927,0.5714
alpha:0.17,0.7912,0.5605,0.5927,0.5714
alpha:0.18,0.7912,0.5605,0.5927,0.5714
alpha:0.19,0.7912,0.5605,0.5927,0.5714
alpha:0.2,0.7912,0.5605,0.5927,0.5714
alpha:0.21,0.7912,0.5605,0.5927,0.5714
alpha:0.22,0.7912,0.5605,0.5927,0.5714
alpha:0.23,0.7926,0.5624,0.5933,0.5725
alpha:0.24,0.7912,0.5599,0.5911,0.5705
alpha:0.25,0.7912,0.5599,0.5911,0.5705
alpha:0.26,0.7912,0.5599,0.5911,0.5705
alpha:0.27,0.7912,0.5599,0.5911,0.5705
alpha:0.28,0.7912,0.5599,0.5911,0.5705
alpha:0.29,0.7912,0.5599,0.5911,0.5705
alpha:0.3,0.7912,0.5599,0.5911,0.5705
alpha:0.31,0.7912,0.5599,0.5911,0.5705
alpha:0.32,0.7912,0.5599,0.5911,0.5705
alpha:0.33,0.7912,0.5599,0.5911,0.5705
alpha:0.34,0.7912,0.5599,0.5911,0.5705
alpha:0.35,0.7912,0.5588,0.5911,0.5700
alpha:0.36,0.7912,0.5588,0.5911,0.5700
alpha:0.37,0.7912,0.5588,0.5911,0.5700
alpha:0.38,0.7912,0.5588,0.5911,0.5700
alpha:0.39,0.7899,0.5576,0.5890,0.5685
alpha:0.4,0.7899,0.5576,0.5890,0.5685
alpha:0.41,0.7899,0.5576,0.5890,0.5685
alpha:0.42,0.7899,0.5576,0.5890,0.5685
alpha:0.43,0.7899,0.5576,0.5890,0.5685
alpha:0.44,0.7899,0.5576,0.5890,0.5685
alpha:0.45,0.7899,0.5576,0.5890,0.5685
alpha:0.46,0.7899,0.5576,0.5890,0.5685
alpha:0.47,0.7899,0.5587,0.5890,0.5690
alpha:0.48,0.7899,0.5587,0.5890,0.5690
