Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.01,0.8497,0.6399,0.5721,0.5953
alpha:0.02,0.8471,0.6289,0.5679,0.5901
alpha:0.03,0.8497,0.6471,0.5773,0.6026
alpha:0.04,0.8524,0.6518,0.5785,0.6049
alpha:0.05,0.8524,0.6505,0.5785,0.6049
alpha:0.06,0.8524,0.6518,0.5785,0.6049
alpha:0.07,0.8511,0.6468,0.5763,0.6024
alpha:0.08,0.8511,0.6468,0.5763,0.6024
alpha:0.09,0.8537,0.6530,0.5791,0.6061
alpha:0.1,0.8537,0.6530,0.5791,0.6061
alpha:0.11,0.8537,0.6530,0.5791,0.6061
alpha:0.12,0.8537,0.6530,0.5791,0.6061
alpha:0.13,0.8537,0.6530,0.5791,0.6061
alpha:0.14,0.8537,0.6530,0.5791,0.6061
alpha:0.15,0.8537,0.6530,0.5791,0.6061
alpha:0.16,0.8524,0.6493,0.5769,0.6036
alpha:0.17,0.8524,0.6493,0.5769,0.6036
alpha:0.18,0.8511,0.6370,0.5682,0.5932
alpha:0.19,0.8511,0.6394,0.5682,0.5937
alpha:0.2,0.8524,0.6430,0.5703,0.5960
alpha:0.21,0.8524,0.6430,0.5703,0.5960
alpha:0.22,0.8524,0.6430,0.5703,0.5960
alpha:0.23,0.8524,0.6430,0.5703,0.5960
alpha:0.24,0.8524,0.6430,0.5703,0.5960
alpha:0.25,0.8511,0.6397,0.5697,0.5949
alpha:0.26,0.8524,0.6422,0.5703,0.5961
alpha:0.27,0.8524,0.6422,0.5703,0.5961
alpha:0.28,0.8524,0.6449,0.5703,0.5966
alpha:0.29,0.8524,0.6449,0.5703,0.5966
alpha:0.3,0.8524,0.6449,0.5703,0.5966
alpha:0.31,0.8537,0.6503,0.5724,0.5989
alpha:0.32,0.8537,0.6503,0.5724,0.5989
alpha:0.33,0.8537,0.6503,0.5724,0.5989
alpha:0.34,0.8537,0.6503,0.5724,0.5989
alpha:0.35,0.8537,0.6503,0.5724,0.5989
alpha:0.36,0.8537,0.6503,0.5724,0.5989
alpha:0.37,0.8524,0.6494,0.5703,0.5971
alpha:0.38,0.8524,0.6494,0.5703,0.5971
alpha:0.39,0.8524,0.6494,0.5703,0.5971
alpha:0.4,0.8537,0.6519,0.5709,0.5983
alpha:0.41,0.8537,0.6519,0.5709,0.5983
alpha:0.42,0.8537,0.6519,0.5709,0.5983
alpha:0.43,0.8524,0.6511,0.5688,0.5965
alpha:0.44,0.8537,0.6555,0.5694,0.5977
alpha:0.45,0.8537,0.6555,0.5694,0.5977
alpha:0.46,0.8551,0.6608,0.5715,0.6001
alpha:0.47,0.8564,0.6707,0.5736,0.6026
alpha:0.48,0.8564,0.6707,0.5736,0.6026
alpha:0.49,0.8564,0.6707,0.5736,0.6026
alpha:0.5,0.8564,0.6707,0.5736,0.6026
alpha:0.51,0.8564,0.6707,0.5736,0.6026
alpha:0.52,0.8564,0.6707,0.5736,0.6026
alpha:0.53,0.8564,0.6707,0.5736,0.6026
alpha:0.54,0.8537,0.6491,0.5627,0.5879
alpha:0.55,0.8537,0.6550,0.5627,0.5884
alpha:0.56,0.8524,0.6299,0.5539,0.5748
alpha:0.57,0.8511,0.6004,0.5452,0.5606
alpha:0.58,0.8511,0.6004,0.5452,0.5606
alpha:0.59,0.8524,0.6045,0.5473,0.5624
alpha:0.6,0.8524,0.6087,0.5473,0.5624
alpha:0.61,0.8524,0.6087,0.5473,0.5624
alpha:0.62,0.8524,0.6087,0.5473,0.5624
alpha:0.63,0.8537,0.6147,0.5479,0.5631
alpha:0.64,0.8537,0.6147,0.5479,0.5631
alpha:0.65,0.8537,0.6147,0.5479,0.5631
alpha:0.66,0.8537,0.6147,0.5479,0.5631
alpha:0.67,0.8537,0.6147,0.5479,0.5631
alpha:0.68,0.8537,0.6147,0.5479,0.5631
alpha:0.69,0.8537,0.6147,0.5479,0.5631
alpha:0.7,0.8564,0.6339,0.5491,0.5644
alpha:0.71,0.8577,0.6510,0.5512,0.5662
alpha:0.72,0.8577,0.6510,0.5512,0.5662
alpha:0.73,0.8577,0.6510,0.5512,0.5662
alpha:0.74,0.8577,0.6510,0.5512,0.5662
alpha:0.75,0.8577,0.6510,0.5512,0.5662
alpha:0.76,0.8590,0.6792,0.5533,0.5681
alpha:0.77,0.8590,0.6792,0.5533,0.5681
alpha:0.78,0.8590,0.7325,0.5533,0.5677
alpha:0.79,0.8590,0.7325,0.5533,0.5677
alpha:0.8,0.8590,0.7325,0.5533,0.5677
alpha:0.81,0.8590,0.7325,0.5533,0.5677
alpha:0.82,0.8590,0.7325,0.5533,0.5677
alpha:0.83,0.8590,0.7325,0.5533,0.5677
alpha:0.84,0.8590,0.7325,0.5533,0.5677
alpha:0.85,0.8590,0.7325,0.5533,0.5677
alpha:0.86,0.8577,0.5654,0.5446,0.5507
alpha:0.87,0.8577,0.5654,0.5446,0.5507
alpha:0.88,0.8577,0.5654,0.5446,0.5507
alpha:0.89,0.8577,0.5654,0.5446,0.5507
alpha:0.9,0.8590,0.5677,0.5452,0.5519
alpha:0.91,0.8590,0.5677,0.5452,0.5519
alpha:0.92,0.8590,0.5677,0.5452,0.5519
alpha:0.93,0.8590,0.5677,0.5452,0.5519
alpha:0.94,0.8590,0.5677,0.5452,0.5519
alpha:0.95,0.8590,0.5677,0.5452,0.5519
alpha:0.96,0.8590,0.5677,0.5452,0.5519
alpha:0.97,0.8590,0.5677,0.5452,0.5519
alpha:0.98,0.8590,0.5677,0.5452,0.5519
alpha:0.99,0.8590,0.5677,0.5452,0.5519
alpha:1.0,0.8604,0.5701,0.5458,0.5531
