Combinacion,Accuracy,Precision,Recall,F_score
"k=1, p=1, uniform",0.8245,0.5879,0.5027,0.5227
"k=1, p=1, distance",0.8245,0.5879,0.5027,0.5227
"k=1, p=2, uniform",0.8218,0.5460,0.4918,0.5067
"k=1, p=2, distance",0.8218,0.5460,0.4918,0.5067
"k=3, p=1, uniform",0.8404,0.5812,0.5017,0.5211
"k=3, p=1, distance",0.8391,0.5753,0.5011,0.5195
"k=3, p=2, uniform",0.8457,0.5792,0.5133,0.5308
"k=3, p=2, distance",0.8444,0.5766,0.5111,0.5287
"k=5, p=1, uniform",0.8351,0.6025,0.4871,0.5108
"k=5, p=1, distance",0.8338,0.5946,0.4865,0.5091
"k=5, p=2, uniform",0.8391,0.5969,0.4950,0.5178
"k=5, p=2, distance",0.8378,0.5894,0.4944,0.5160
"k=7, p=1, uniform",0.8298,0.5956,0.4786,0.5006
"k=7, p=1, distance",0.8298,0.5881,0.4802,0.5013
"k=7, p=2, uniform",0.8338,0.5934,0.4865,0.5084
"k=7, p=2, distance",0.8338,0.5865,0.4881,0.5090
"k=9, p=1, uniform",0.8311,0.6003,0.4792,0.5018
"k=9, p=1, distance",0.8298,0.5919,0.4786,0.5002
"k=9, p=2, uniform",0.8378,0.6026,0.4898,0.5130
"k=9, p=2, distance",0.8364,0.5948,0.4892,0.5114
"k=1, p=1, uniform",0.7912,0.5647,0.5509,0.5552
"k=1, p=1, distance",0.7912,0.5647,0.5509,0.5552
"k=1, p=2, uniform",0.7832,0.5601,0.5692,0.5605
"k=1, p=2, distance",0.7832,0.5601,0.5692,0.5605
"k=3, p=1, uniform",0.7912,0.5610,0.5428,0.5495
"k=3, p=1, distance",0.7979,0.5654,0.5442,0.5524
"k=3, p=2, uniform",0.7713,0.5528,0.5684,0.5550
"k=3, p=2, distance",0.7753,0.5551,0.5687,0.5568
"k=5, p=1, uniform",0.7832,0.5677,0.5367,0.5463
"k=5, p=1, distance",0.7912,0.5741,0.5418,0.5524
"k=5, p=2, uniform",0.7540,0.5492,0.5561,0.5448
"k=5, p=2, distance",0.7646,0.5558,0.5609,0.5515
"k=7, p=1, uniform",0.7819,0.5809,0.5336,0.5464
"k=7, p=1, distance",0.7899,0.5845,0.5387,0.5517
"k=7, p=2, uniform",0.7420,0.5472,0.5395,0.5353
"k=7, p=2, distance",0.7606,0.5557,0.5463,0.5444
"k=9, p=1, uniform",0.7793,0.5836,0.5263,0.5413
"k=9, p=1, distance",0.7886,0.5920,0.5320,0.5484
"k=9, p=2, uniform",0.7314,0.5547,0.5495,0.5394
"k=9, p=2, distance",0.7580,0.5605,0.5518,0.5476
