Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.01,0.8085,0.6046,0.6178,0.6012
alpha:0.02,0.8098,0.6056,0.6184,0.6022
alpha:0.03,0.8085,0.6046,0.6178,0.6012
alpha:0.04,0.8085,0.6046,0.6178,0.6012
alpha:0.05,0.8085,0.6046,0.6178,0.6012
alpha:0.06,0.8085,0.6046,0.6178,0.6012
alpha:0.07,0.8085,0.6046,0.6178,0.6012
alpha:0.08,0.8085,0.6046,0.6178,0.6012
alpha:0.09,0.8085,0.6017,0.6178,0.6007
alpha:0.1,0.8085,0.6017,0.6178,0.6007
alpha:0.11,0.8085,0.6017,0.6178,0.6007
alpha:0.12,0.8098,0.6029,0.6199,0.6021
alpha:0.13,0.8098,0.6029,0.6199,0.6021
alpha:0.14,0.8072,0.5883,0.6090,0.5901
alpha:0.15,0.8072,0.5883,0.6090,0.5901
alpha:0.16,0.8072,0.5883,0.6090,0.5901
alpha:0.17,0.8059,0.5873,0.6084,0.5891
alpha:0.18,0.8059,0.5873,0.6084,0.5891
alpha:0.19,0.8059,0.5873,0.6084,0.5891
alpha:0.2,0.8045,0.5814,0.6063,0.5863
alpha:0.21,0.8019,0.5777,0.6051,0.5840
alpha:0.22,0.8019,0.5777,0.6051,0.5840
alpha:0.23,0.8019,0.5777,0.6051,0.5840
alpha:0.24,0.8019,0.5777,0.6051,0.5840
alpha:0.25,0.8019,0.5777,0.6051,0.5840
alpha:0.26,0.8019,0.5777,0.6051,0.5840
alpha:0.27,0.8019,0.5777,0.6051,0.5840
alpha:0.28,0.8019,0.5777,0.6051,0.5840
alpha:0.29,0.8019,0.5758,0.6051,0.5834
alpha:0.3,0.8032,0.5770,0.6072,0.5848
alpha:0.31,0.8032,0.5770,0.6072,0.5848
alpha:0.32,0.8032,0.5757,0.6072,0.5846
alpha:0.33,0.8032,0.5757,0.6072,0.5846
alpha:0.34,0.8032,0.5757,0.6072,0.5846
alpha:0.35,0.8032,0.5757,0.6072,0.5846
alpha:0.36,0.8032,0.5757,0.6072,0.5846
alpha:0.37,0.8032,0.5757,0.6072,0.5846
alpha:0.38,0.8032,0.5757,0.6072,0.5846
alpha:0.39,0.8032,0.5745,0.6072,0.5843
alpha:0.4,0.8032,0.5745,0.6072,0.5843
alpha:0.41,0.8032,0.5745,0.6072,0.5843
alpha:0.42,0.8032,0.5745,0.6072,0.5843
alpha:0.43,0.8032,0.5745,0.6072,0.5843
alpha:0.44,0.8032,0.5745,0.6072,0.5843
alpha:0.45,0.8032,0.5745,0.6072,0.5843
alpha:0.46,0.8019,0.5724,0.6066,0.5832
alpha:0.47,0.8019,0.5724,0.6066,0.5832
alpha:0.48,0.8019,0.5724,0.6066,0.5832
alpha:0.49,0.8019,0.5724,0.6066,0.5832
alpha:0.5,0.8019,0.5724,0.6066,0.5832
alpha:0.51,0.8019,0.5724,0.6066,0.5832
alpha:0.52,0.8019,0.5724,0.6066,0.5832
alpha:0.53,0.8019,0.5724,0.6066,0.5832
alpha:0.54,0.8019,0.5735,0.6066,0.5834
alpha:0.55,0.8019,0.5735,0.6066,0.5834
alpha:0.56,0.8032,0.5770,0.6072,0.5848
alpha:0.57,0.8032,0.5770,0.6072,0.5848
alpha:0.58,0.8032,0.5770,0.6072,0.5848
alpha:0.59,0.8032,0.5770,0.6072,0.5848
alpha:0.6,0.8032,0.5770,0.6072,0.5848
alpha:0.61,0.8032,0.5770,0.6072,0.5848
alpha:0.62,0.8032,0.5770,0.6072,0.5848
alpha:0.63,0.8032,0.5770,0.6072,0.5848
alpha:0.64,0.8032,0.5757,0.6072,0.5846
alpha:0.65,0.8032,0.5757,0.6072,0.5846
alpha:0.66,0.8032,0.5757,0.6072,0.5846
alpha:0.67,0.8032,0.5757,0.6072,0.5846
alpha:0.68,0.8032,0.5757,0.6072,0.5846
alpha:0.69,0.8019,0.5735,0.6066,0.5834
alpha:0.7,0.8019,0.5735,0.6066,0.5834
alpha:0.71,0.8019,0.5735,0.6066,0.5834
alpha:0.72,0.8019,0.5735,0.6066,0.5834
alpha:0.73,0.8045,0.5772,0.6093,0.5864
alpha:0.74,0.8059,0.5783,0.6099,0.5874
alpha:0.75,0.8059,0.5783,0.6099,0.5874
alpha:0.76,0.8059,0.5783,0.6099,0.5874
alpha:0.77,0.8072,0.5806,0.6105,0.5886
alpha:0.78,0.8072,0.5806,0.6105,0.5886
alpha:0.79,0.8072,0.5806,0.6105,0.5886
alpha:0.8,0.8072,0.5806,0.6105,0.5886
alpha:0.81,0.8072,0.5825,0.6105,0.5892
alpha:0.82,0.8072,0.5842,0.6105,0.5895
alpha:0.83,0.8072,0.5842,0.6105,0.5895
alpha:0.84,0.8072,0.5842,0.6105,0.5895
alpha:0.85,0.8072,0.5842,0.6105,0.5895
