Combinacion,Accuracy,Precision,Recall,F_score
"depth=1, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=1, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=2, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=2, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=3, split=5, leaf=5, crit=gini",0.7553,0.5839,0.3567,0.3297
"depth=3, split=5, leaf=5, crit=entropy",0.7606,0.5853,0.3652,0.3451
"depth=4, split=5, leaf=5, crit=gini",0.7673,0.5870,0.3758,0.3634
"depth=4, split=5, leaf=5, crit=entropy",0.7753,0.5891,0.3885,0.3841
"depth=5, split=5, leaf=5, crit=gini",0.7926,0.5937,0.4161,0.4250
"depth=5, split=5, leaf=5, crit=entropy",0.7912,0.5934,0.4140,0.4221
"depth=6, split=5, leaf=5, crit=gini",0.8019,0.5963,0.4310,0.4451
"depth=6, split=5, leaf=5, crit=entropy",0.7992,0.5956,0.4268,0.4395
"depth=7, split=5, leaf=5, crit=gini",0.8019,0.5963,0.4310,0.4451
"depth=7, split=5, leaf=5, crit=entropy",0.8059,0.5974,0.4374,0.4533
"depth=8, split=5, leaf=5, crit=gini",0.8191,0.6013,0.4586,0.4792
"depth=8, split=5, leaf=5, crit=entropy",0.8165,0.5951,0.4559,0.4755
"depth=9, split=5, leaf=5, crit=gini",0.8138,0.5942,0.4516,0.4705
"depth=9, split=5, leaf=5, crit=entropy",0.8125,0.5884,0.4510,0.4694
"depth=10, split=5, leaf=5, crit=gini",0.8218,0.5924,0.4659,0.4866
"depth=10, split=5, leaf=5, crit=entropy",0.8258,0.5984,0.4707,0.4925
"depth=11, split=5, leaf=5, crit=gini",0.8245,0.5935,0.4701,0.4914
"depth=11, split=5, leaf=5, crit=entropy",0.8231,0.5929,0.4680,0.4890
"depth=12, split=5, leaf=5, crit=gini",0.8245,0.5892,0.4717,0.4925
"depth=12, split=5, leaf=5, crit=entropy",0.8231,0.5846,0.4711,0.4914
"depth=13, split=5, leaf=5, crit=gini",0.8245,0.5892,0.4717,0.4925
"depth=13, split=5, leaf=5, crit=entropy",0.8258,0.5897,0.4723,0.4931
"depth=14, split=5, leaf=5, crit=gini",0.8285,0.5994,0.4750,0.4972
"depth=14, split=5, leaf=5, crit=entropy",0.8285,0.5951,0.4765,0.4983
"depth=15, split=5, leaf=5, crit=gini",0.8271,0.5865,0.4774,0.4983
"depth=15, split=5, leaf=5, crit=entropy",0.8231,0.5805,0.4711,0.4908
"depth=16, split=5, leaf=5, crit=gini",0.8271,0.5795,0.4805,0.5004
"depth=16, split=5, leaf=5, crit=entropy",0.8338,0.5972,0.4850,0.5074
"depth=17, split=5, leaf=5, crit=gini",0.8298,0.5807,0.4832,0.5032
"depth=17, split=5, leaf=5, crit=entropy",0.8285,0.5834,0.4796,0.4999
"depth=18, split=5, leaf=5, crit=gini",0.8311,0.5812,0.4838,0.5037
"depth=18, split=5, leaf=5, crit=entropy",0.8324,0.5855,0.4859,0.5066
"depth=19, split=5, leaf=5, crit=gini",0.8324,0.5757,0.4890,0.5080
"depth=19, split=5, leaf=5, crit=entropy",0.8324,0.5855,0.4859,0.5066
"depth=20, split=5, leaf=5, crit=gini",0.8311,0.5814,0.4853,0.5054
"depth=20, split=5, leaf=5, crit=entropy",0.8311,0.5782,0.4869,0.5064
"depth=21, split=5, leaf=5, crit=gini",0.8311,0.5668,0.4914,0.5087
"depth=21, split=5, leaf=5, crit=entropy",0.8311,0.5752,0.4884,0.5074
"depth=22, split=5, leaf=5, crit=gini",0.8324,0.5729,0.4905,0.5089
"depth=22, split=5, leaf=5, crit=entropy",0.8351,0.5748,0.4963,0.5147
"depth=23, split=5, leaf=5, crit=gini",0.8378,0.5761,0.4990,0.5173
"depth=23, split=5, leaf=5, crit=entropy",0.8351,0.5805,0.4932,0.5129
"depth=24, split=5, leaf=5, crit=gini",0.8364,0.5753,0.4969,0.5153
"depth=24, split=5, leaf=5, crit=entropy",0.8404,0.5834,0.5017,0.5213
"depth=25, split=5, leaf=5, crit=gini",0.8378,0.5761,0.4990,0.5173
"depth=25, split=5, leaf=5, crit=entropy",0.8378,0.5764,0.5005,0.5189
"depth=26, split=5, leaf=5, crit=gini",0.8351,0.5670,0.4993,0.5159
"depth=26, split=5, leaf=5, crit=entropy",0.8324,0.5760,0.4905,0.5096
"depth=27, split=5, leaf=5, crit=gini",0.8364,0.5679,0.5014,0.5179
"depth=27, split=5, leaf=5, crit=entropy",0.8404,0.5752,0.5048,0.5223
"depth=28, split=5, leaf=5, crit=gini",0.8378,0.5711,0.5020,0.5191
"depth=28, split=5, leaf=5, crit=entropy",0.8404,0.5752,0.5048,0.5223
"depth=29, split=5, leaf=5, crit=gini",0.8378,0.5711,0.5020,0.5191
"depth=29, split=5, leaf=5, crit=entropy",0.8391,0.5772,0.5026,0.5209
"depth=30, split=5, leaf=5, crit=gini",0.8378,0.5714,0.5036,0.5206
"depth=30, split=5, leaf=5, crit=entropy",0.8418,0.5814,0.5054,0.5242
"depth=31, split=5, leaf=5, crit=gini",0.8431,0.5768,0.5090,0.5264
"depth=31, split=5, leaf=5, crit=entropy",0.8378,0.5688,0.5036,0.5200
"depth=32, split=5, leaf=5, crit=gini",0.8418,0.5647,0.5130,0.5269
"depth=32, split=5, leaf=5, crit=entropy",0.8404,0.5731,0.5078,0.5246
"depth=33, split=5, leaf=5, crit=gini",0.8391,0.5719,0.5042,0.5211
"depth=33, split=5, leaf=5, crit=entropy",0.8431,0.5747,0.5121,0.5286
"depth=34, split=5, leaf=5, crit=gini",0.8391,0.5696,0.5057,0.5220
"depth=34, split=5, leaf=5, crit=entropy",0.8431,0.5771,0.5105,0.5278
"depth=35, split=5, leaf=5, crit=gini",0.8418,0.5691,0.5115,0.5268
"depth=35, split=5, leaf=5, crit=entropy",0.8404,0.5731,0.5078,0.5246
"depth=36, split=5, leaf=5, crit=gini",0.8418,0.5667,0.5115,0.5261
"depth=36, split=5, leaf=5, crit=entropy",0.8431,0.5771,0.5105,0.5278
"depth=37, split=5, leaf=5, crit=gini",0.8444,0.5708,0.5157,0.5307
"depth=37, split=5, leaf=5, crit=entropy",0.8457,0.5738,0.5163,0.5319
"depth=38, split=5, leaf=5, crit=gini",0.8444,0.5730,0.5142,0.5299
"depth=38, split=5, leaf=5, crit=entropy",0.8444,0.5755,0.5142,0.5305
"depth=39, split=5, leaf=5, crit=gini",0.8444,0.5708,0.5157,0.5307
"depth=39, split=5, leaf=5, crit=entropy",0.8404,0.5683,0.5093,0.5248
"depth=40, split=5, leaf=5, crit=gini",0.8471,0.5743,0.5169,0.5324
"depth=40, split=5, leaf=5, crit=entropy",0.8457,0.5763,0.5163,0.5325
