Combinacion,Accuracy,Precision,Recall,F_score
"k=1, p=1, uniform",0.8258,0.6232,0.5197,0.5504
"k=1, p=1, distance",0.8258,0.6232,0.5197,0.5504
"k=1, p=2, uniform",0.8245,0.6273,0.5415,0.5706
"k=1, p=2, distance",0.8245,0.6273,0.5415,0.5706
"k=3, p=1, uniform",0.8258,0.5762,0.4799,0.4998
"k=3, p=1, distance",0.8271,0.5719,0.4851,0.5045
"k=3, p=2, uniform",0.8285,0.5696,0.4872,0.5061
"k=3, p=2, distance",0.8285,0.6229,0.4969,0.5221
"k=5, p=1, uniform",0.8285,0.5876,0.4796,0.5008
"k=5, p=1, distance",0.8258,0.5759,0.4784,0.4981
"k=5, p=2, uniform",0.8311,0.7452,0.4950,0.5230
"k=5, p=2, distance",0.8298,0.6860,0.4929,0.5201
"k=7, p=1, uniform",0.8285,0.5994,0.4750,0.4972
"k=7, p=1, distance",0.8245,0.5781,0.4747,0.4945
"k=7, p=2, uniform",0.8271,0.5904,0.4759,0.4972
"k=7, p=2, distance",0.8271,0.5796,0.4790,0.4990
"k=9, p=1, uniform",0.8285,0.6040,0.4735,0.4960
"k=9, p=1, distance",0.8245,0.5817,0.4732,0.4933
"k=9, p=2, uniform",0.8271,0.5945,0.4744,0.4960
"k=9, p=2, distance",0.8258,0.5861,0.4738,0.4945
