Combinacion,Accuracy,Precision,Recall,F_score
"k=1, p=1, uniform",0.7540,0.5584,0.5928,0.5645
"k=1, p=1, distance",0.7540,0.5584,0.5928,0.5645
"k=1, p=2, uniform",0.7660,0.5717,0.6073,0.5764
"k=1, p=2, distance",0.7660,0.5717,0.6073,0.5764
"k=3, p=1, uniform",0.7886,0.5933,0.6201,0.5965
"k=3, p=1, distance",0.7912,0.5988,0.6213,0.5996
"k=3, p=2, uniform",0.7886,0.5964,0.6481,0.6059
"k=3, p=2, distance",0.7912,0.6001,0.6478,0.6082
"k=5, p=1, uniform",0.7646,0.5846,0.5905,0.5740
"k=5, p=1, distance",0.7739,0.5887,0.5947,0.5796
"k=5, p=2, uniform",0.7580,0.5898,0.6461,0.5919
"k=5, p=2, distance",0.7766,0.6019,0.6545,0.6053
"k=7, p=1, uniform",0.7673,0.5961,0.6020,0.5816
"k=7, p=1, distance",0.7699,0.6000,0.6031,0.5840
"k=7, p=2, uniform",0.7380,0.5813,0.6275,0.5771
"k=7, p=2, distance",0.7633,0.5965,0.6388,0.5945
"k=9, p=1, uniform",0.7580,0.5961,0.6080,0.5794
"k=9, p=1, distance",0.7713,0.6060,0.6058,0.5857
"k=9, p=2, uniform",0.7181,0.5806,0.6323,0.5700
"k=9, p=2, distance",0.7487,0.5986,0.6379,0.5886
