Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.01,0.8098,0.6134,0.6060,0.5786
alpha:0.02,0.8098,0.6134,0.6060,0.5786
alpha:0.03,0.8085,0.6122,0.6039,0.5772
alpha:0.04,0.8085,0.6122,0.6039,0.5772
alpha:0.05,0.8085,0.6122,0.6039,0.5772
alpha:0.06,0.8059,0.6105,0.6027,0.5753
alpha:0.07,0.8059,0.6105,0.6027,0.5753
alpha:0.08,0.8072,0.6113,0.6033,0.5763
alpha:0.09,0.8072,0.6113,0.6033,0.5763
alpha:0.1,0.8072,0.6113,0.6033,0.5763
alpha:0.11,0.8085,0.6126,0.6054,0.5776
alpha:0.12,0.8085,0.6046,0.6054,0.5769
alpha:0.13,0.8085,0.5981,0.6054,0.5764
alpha:0.14,0.8085,0.5981,0.6054,0.5764
alpha:0.15,0.8072,0.5917,0.6048,0.5751
alpha:0.16,0.8085,0.6076,0.6136,0.5868
alpha:0.17,0.8085,0.6076,0.6136,0.5868
alpha:0.18,0.8085,0.6076,0.6136,0.5868
alpha:0.19,0.8085,0.6138,0.6136,0.5874
alpha:0.2,0.8085,0.6138,0.6136,0.5874
alpha:0.21,0.8098,0.6150,0.6157,0.5888
alpha:0.22,0.8098,0.6150,0.6157,0.5888
alpha:0.23,0.8098,0.6150,0.6157,0.5888
alpha:0.24,0.8098,0.6150,0.6157,0.5888
alpha:0.25,0.8098,0.6150,0.6157,0.5888
alpha:0.26,0.8085,0.6080,0.6151,0.5873
alpha:0.27,0.8085,0.6080,0.6151,0.5873
alpha:0.28,0.8085,0.6080,0.6151,0.5873
alpha:0.29,0.8085,0.6080,0.6151,0.5873
alpha:0.3,0.8085,0.6080,0.6151,0.5873
alpha:0.31,0.8085,0.6080,0.6151,0.5873
alpha:0.32,0.8085,0.6080,0.6151,0.5873
alpha:0.33,0.8085,0.6080,0.6151,0.5873
alpha:0.34,0.8085,0.6080,0.6151,0.5873
alpha:0.35,0.8085,0.6080,0.6151,0.5873
alpha:0.36,0.8085,0.6080,0.6151,0.5873
alpha:0.37,0.8072,0.6013,0.6130,0.5850
alpha:0.38,0.8072,0.6013,0.6130,0.5850
alpha:0.39,0.8072,0.6013,0.6130,0.5850
alpha:0.4,0.8072,0.6013,0.6130,0.5850
alpha:0.41,0.8072,0.6013,0.6130,0.5850
alpha:0.42,0.8072,0.6013,0.6130,0.5850
alpha:0.43,0.8072,0.6013,0.6130,0.5850
alpha:0.44,0.8072,0.6013,0.6130,0.5850
alpha:0.45,0.8072,0.6013,0.6130,0.5850
alpha:0.46,0.8072,0.6013,0.6130,0.5850
alpha:0.47,0.8072,0.6013,0.6130,0.5850
alpha:0.48,0.8072,0.5966,0.6130,0.5845
alpha:0.49,0.8072,0.5966,0.6130,0.5845
alpha:0.5,0.8072,0.5966,0.6130,0.5845
alpha:0.51,0.8059,0.5917,0.6124,0.5831
alpha:0.52,0.8059,0.5917,0.6124,0.5831
alpha:0.53,0.8059,0.5917,0.6124,0.5831
alpha:0.54,0.8059,0.5917,0.6124,0.5831
alpha:0.55,0.8059,0.5917,0.6124,0.5831
alpha:0.56,0.8059,0.5917,0.6124,0.5831
alpha:0.57,0.8059,0.5917,0.6124,0.5831
alpha:0.58,0.8059,0.5917,0.6124,0.5831
