Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.01,0.8763,0.6804,0.6116,0.6259
alpha:0.02,0.8750,0.6672,0.6094,0.6240
alpha:0.03,0.8750,0.6672,0.6094,0.6240
alpha:0.04,0.8763,0.6750,0.6116,0.6263
alpha:0.05,0.8777,0.6839,0.6137,0.6286
alpha:0.06,0.8763,0.6830,0.6116,0.6271
alpha:0.07,0.8750,0.6740,0.6094,0.6247
alpha:0.08,0.8763,0.6910,0.6182,0.6368
alpha:0.09,0.8763,0.6910,0.6182,0.6368
alpha:0.1,0.8763,0.6997,0.6182,0.6378
alpha:0.11,0.8750,0.6821,0.6094,0.6255
alpha:0.12,0.8737,0.6600,0.6007,0.6121
alpha:0.13,0.8737,0.6600,0.6007,0.6121
alpha:0.14,0.8737,0.6600,0.6007,0.6121
alpha:0.15,0.8737,0.6673,0.6007,0.6121
alpha:0.16,0.8737,0.6673,0.6007,0.6121
alpha:0.17,0.8737,0.6673,0.6007,0.6121
alpha:0.18,0.8737,0.6673,0.6007,0.6121
alpha:0.19,0.8750,0.6789,0.6028,0.6143
alpha:0.2,0.8750,0.6789,0.6028,0.6143
alpha:0.21,0.8750,0.6789,0.6028,0.6143
alpha:0.22,0.8750,0.6789,0.6028,0.6143
alpha:0.23,0.8750,0.6802,0.6028,0.6149
alpha:0.24,0.8750,0.6802,0.6028,0.6149
alpha:0.25,0.8750,0.6802,0.6028,0.6149
alpha:0.26,0.8750,0.6802,0.6028,0.6149
alpha:0.27,0.8737,0.6690,0.6022,0.6137
alpha:0.28,0.8737,0.6690,0.6022,0.6137
alpha:0.29,0.8737,0.6690,0.6022,0.6137
alpha:0.3,0.8737,0.6690,0.6022,0.6137
alpha:0.31,0.8737,0.6690,0.6022,0.6137
alpha:0.32,0.8737,0.6690,0.6022,0.6137
alpha:0.33,0.8723,0.6681,0.6001,0.6121
alpha:0.34,0.8723,0.6681,0.6001,0.6121
alpha:0.35,0.8723,0.6681,0.6001,0.6121
alpha:0.36,0.8723,0.6681,0.6001,0.6121
alpha:0.37,0.8737,0.6796,0.6022,0.6143
alpha:0.38,0.8737,0.6796,0.6022,0.6143
alpha:0.39,0.8737,0.6796,0.6022,0.6143
alpha:0.4,0.8750,0.6936,0.6028,0.6155
alpha:0.41,0.8750,0.6936,0.6028,0.6155
alpha:0.42,0.8737,0.6620,0.5940,0.6008
alpha:0.43,0.8737,0.6620,0.5940,0.6008
alpha:0.44,0.8737,0.6620,0.5940,0.6008
alpha:0.45,0.8737,0.6620,0.5940,0.6008
alpha:0.46,0.8737,0.6620,0.5940,0.6008
alpha:0.47,0.8737,0.6620,0.5940,0.6008
alpha:0.48,0.8737,0.6620,0.5940,0.6008
alpha:0.49,0.8737,0.6330,0.5858,0.5867
alpha:0.5,0.8737,0.6330,0.5858,0.5867
alpha:0.51,0.8737,0.6330,0.5858,0.5867
alpha:0.52,0.8723,0.6320,0.5837,0.5852
alpha:0.53,0.8723,0.6320,0.5837,0.5852
alpha:0.54,0.8723,0.6320,0.5837,0.5852
alpha:0.55,0.8723,0.6320,0.5837,0.5852
alpha:0.56,0.8723,0.6320,0.5837,0.5852
alpha:0.57,0.8723,0.6320,0.5837,0.5852
alpha:0.58,0.8723,0.6320,0.5837,0.5852
alpha:0.59,0.8723,0.6320,0.5837,0.5852
alpha:0.6,0.8710,0.6460,0.5816,0.5831
alpha:0.61,0.8710,0.6460,0.5816,0.5831
alpha:0.62,0.8710,0.6460,0.5816,0.5831
alpha:0.63,0.8710,0.6460,0.5816,0.5831
alpha:0.64,0.8710,0.6460,0.5816,0.5831
alpha:0.65,0.8710,0.6460,0.5816,0.5831
alpha:0.66,0.8710,0.6460,0.5816,0.5831
alpha:0.67,0.8710,0.6460,0.5816,0.5831
alpha:0.68,0.8710,0.6460,0.5816,0.5831
alpha:0.69,0.8710,0.6460,0.5816,0.5831
alpha:0.7,0.8710,0.6460,0.5816,0.5831
alpha:0.71,0.8710,0.6460,0.5816,0.5831
alpha:0.72,0.8710,0.6460,0.5816,0.5831
alpha:0.73,0.8710,0.6460,0.5816,0.5831
alpha:0.74,0.8710,0.6460,0.5816,0.5831
alpha:0.75,0.8710,0.6460,0.5816,0.5831
alpha:0.76,0.8710,0.6460,0.5816,0.5831
alpha:0.77,0.8710,0.6460,0.5816,0.5831
alpha:0.78,0.8697,0.6450,0.5795,0.5815
alpha:0.79,0.8697,0.6450,0.5795,0.5815
alpha:0.8,0.8697,0.6450,0.5795,0.5815
alpha:0.81,0.8697,0.6450,0.5795,0.5815
alpha:0.82,0.8710,0.6729,0.5801,0.5822
alpha:0.83,0.8710,0.6729,0.5801,0.5822
alpha:0.84,0.8710,0.6729,0.5801,0.5822
alpha:0.85,0.8710,0.6729,0.5801,0.5822
alpha:0.86,0.8723,0.6747,0.5807,0.5833
alpha:0.87,0.8710,0.6738,0.5785,0.5817
alpha:0.88,0.8710,0.6738,0.5785,0.5817
alpha:0.89,0.8710,0.6738,0.5785,0.5817
alpha:0.9,0.8697,0.6728,0.5764,0.5801
alpha:0.91,0.8697,0.6728,0.5764,0.5801
alpha:0.92,0.8697,0.6728,0.5764,0.5801
alpha:0.93,0.8697,0.6728,0.5764,0.5801
alpha:0.94,0.8710,0.6747,0.5770,0.5813
alpha:0.95,0.8710,0.6747,0.5770,0.5813
alpha:0.96,0.8710,0.6747,0.5770,0.5813
alpha:0.97,0.8710,0.6747,0.5770,0.5813
alpha:0.98,0.8710,0.6747,0.5770,0.5813
alpha:0.99,0.8710,0.6747,0.5770,0.5813
alpha:1.0,0.8710,0.6747,0.5770,0.5813
