Combinacion,Accuracy,Precision,Recall,F_score
"depth=1, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=1, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=2, split=5, leaf=5, crit=gini",0.7420,0.5806,0.3355,0.2881
"depth=2, split=5, leaf=5, crit=entropy",0.7420,0.5806,0.3355,0.2881
"depth=3, split=5, leaf=5, crit=gini",0.7566,0.5842,0.3588,0.3336
"depth=3, split=5, leaf=5, crit=entropy",0.7513,0.5829,0.3503,0.3177
"depth=4, split=5, leaf=5, crit=gini",0.7832,0.5912,0.4013,0.4037
"depth=4, split=5, leaf=5, crit=entropy",0.7779,0.5898,0.3928,0.3908
"depth=5, split=5, leaf=5, crit=gini",0.7979,0.5952,0.4246,0.4366
"depth=5, split=5, leaf=5, crit=entropy",0.8072,0.5978,0.4395,0.4560
"depth=6, split=5, leaf=5, crit=gini",0.8072,0.5978,0.4395,0.4560
"depth=6, split=5, leaf=5, crit=entropy",0.8032,0.5967,0.4331,0.4478
"depth=7, split=5, leaf=5, crit=gini",0.8191,0.6013,0.4586,0.4792
"depth=7, split=5, leaf=5, crit=entropy",0.8138,0.5997,0.4501,0.4691
"depth=8, split=5, leaf=5, crit=gini",0.8231,0.6024,0.4650,0.4865
"depth=8, split=5, leaf=5, crit=entropy",0.8218,0.6020,0.4628,0.4841
"depth=9, split=5, leaf=5, crit=gini",0.8258,0.6032,0.4692,0.4913
"depth=9, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=10, split=5, leaf=5, crit=gini",0.8271,0.6036,0.4713,0.4937
"depth=10, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=11, split=5, leaf=5, crit=gini",0.8258,0.6032,0.4692,0.4913
"depth=11, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=12, split=5, leaf=5, crit=gini",0.8258,0.6032,0.4692,0.4913
"depth=12, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=13, split=5, leaf=5, crit=gini",0.8271,0.6036,0.4713,0.4937
"depth=13, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=14, split=5, leaf=5, crit=gini",0.8271,0.6036,0.4713,0.4937
"depth=14, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=15, split=5, leaf=5, crit=gini",0.8271,0.6036,0.4713,0.4937
"depth=15, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=16, split=5, leaf=5, crit=gini",0.8271,0.6036,0.4713,0.4937
"depth=16, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=17, split=5, leaf=5, crit=gini",0.8271,0.6036,0.4713,0.4937
"depth=17, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=18, split=5, leaf=5, crit=gini",0.8258,0.5984,0.4707,0.4925
"depth=18, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=19, split=5, leaf=5, crit=gini",0.8285,0.6040,0.4735,0.4960
"depth=19, split=5, leaf=5, crit=entropy",0.8271,0.6036,0.4713,0.4937
"depth=20, split=5, leaf=5, crit=gini",0.8271,0.5904,0.4759,0.4972
"depth=20, split=5, leaf=5, crit=entropy",0.8271,0.5945,0.4744,0.4960
"depth=21, split=5, leaf=5, crit=gini",0.8285,0.5994,0.4750,0.4972
"depth=21, split=5, leaf=5, crit=entropy",0.8285,0.5951,0.4765,0.4983
"depth=22, split=5, leaf=5, crit=gini",0.8258,0.5898,0.4738,0.4949
"depth=22, split=5, leaf=5, crit=entropy",0.8271,0.5945,0.4744,0.4960
"depth=23, split=5, leaf=5, crit=gini",0.8311,0.5961,0.4808,0.5029
"depth=23, split=5, leaf=5, crit=entropy",0.8298,0.5956,0.4786,0.5006
"depth=24, split=5, leaf=5, crit=gini",0.8324,0.5928,0.4844,0.5062
"depth=24, split=5, leaf=5, crit=entropy",0.8271,0.5904,0.4759,0.4972
"depth=25, split=5, leaf=5, crit=gini",0.8285,0.5910,0.4780,0.4994
"depth=25, split=5, leaf=5, crit=entropy",0.8285,0.5910,0.4780,0.4994
"depth=26, split=5, leaf=5, crit=gini",0.8324,0.5891,0.4859,0.5072
"depth=26, split=5, leaf=5, crit=entropy",0.8298,0.5916,0.4802,0.5017
"depth=27, split=5, leaf=5, crit=gini",0.8311,0.5885,0.4838,0.5050
"depth=27, split=5, leaf=5, crit=entropy",0.8285,0.5870,0.4780,0.4988
"depth=28, split=5, leaf=5, crit=gini",0.8311,0.5782,0.4869,0.5064
"depth=28, split=5, leaf=5, crit=entropy",0.8324,0.5967,0.4829,0.5051
"depth=29, split=5, leaf=5, crit=gini",0.8311,0.5814,0.4853,0.5054
"depth=29, split=5, leaf=5, crit=entropy",0.8338,0.5972,0.4850,0.5074
"depth=30, split=5, leaf=5, crit=gini",0.8351,0.5836,0.4917,0.5119
"depth=30, split=5, leaf=5, crit=entropy",0.8298,0.5807,0.4832,0.5032
"depth=31, split=5, leaf=5, crit=gini",0.8298,0.5712,0.4863,0.5046
"depth=31, split=5, leaf=5, crit=entropy",0.8271,0.5759,0.4805,0.4998
"depth=32, split=5, leaf=5, crit=gini",0.8338,0.5896,0.4865,0.5078
"depth=32, split=5, leaf=5, crit=entropy",0.8351,0.5977,0.4871,0.5096
"depth=33, split=5, leaf=5, crit=gini",0.8324,0.5790,0.4890,0.5086
"depth=33, split=5, leaf=5, crit=entropy",0.8338,0.5829,0.4896,0.5098
"depth=34, split=5, leaf=5, crit=gini",0.8378,0.5915,0.4929,0.5143
"depth=34, split=5, leaf=5, crit=entropy",0.8378,0.5850,0.4959,0.5162
"depth=35, split=5, leaf=5, crit=gini",0.8378,0.5850,0.4959,0.5162
"depth=35, split=5, leaf=5, crit=entropy",0.8364,0.5843,0.4938,0.5141
"depth=36, split=5, leaf=5, crit=gini",0.8338,0.5829,0.4896,0.5098
"depth=36, split=5, leaf=5, crit=entropy",0.8351,0.5868,0.4902,0.5109
"depth=37, split=5, leaf=5, crit=gini",0.8324,0.5729,0.4905,0.5089
"depth=37, split=5, leaf=5, crit=entropy",0.8404,0.5864,0.5002,0.5204
"depth=38, split=5, leaf=5, crit=gini",0.8378,0.5817,0.4959,0.5155
"depth=38, split=5, leaf=5, crit=entropy",0.8378,0.5791,0.4990,0.5180
"depth=39, split=5, leaf=5, crit=gini",0.8404,0.5894,0.4987,0.5195
"depth=39, split=5, leaf=5, crit=entropy",0.8378,0.5881,0.4944,0.5152
"depth=40, split=5, leaf=5, crit=gini",0.8378,0.5791,0.4990,0.5180
"depth=40, split=5, leaf=5, crit=entropy",0.8418,0.5814,0.5054,0.5242
