Combinacion,Accuracy,Precision,Recall,F_score
"depth=1, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=1, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=2, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=2, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=3, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=3, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=4, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=4, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=5, split=5, leaf=5, crit=gini",0.7380,0.2467,0.3321,0.2831
"depth=5, split=5, leaf=5, crit=entropy",0.7394,0.2468,0.3327,0.2834
"depth=6, split=5, leaf=5, crit=gini",0.7420,0.5810,0.3385,0.2962
"depth=6, split=5, leaf=5, crit=entropy",0.7513,0.5833,0.3534,0.3252
"depth=7, split=5, leaf=5, crit=gini",0.7580,0.5465,0.3640,0.3443
"depth=7, split=5, leaf=5, crit=entropy",0.7633,0.5690,0.3710,0.3557
"depth=8, split=5, leaf=5, crit=gini",0.7806,0.6646,0.4067,0.4159
"depth=8, split=5, leaf=5, crit=entropy",0.7713,0.6592,0.3919,0.3928
"depth=9, split=5, leaf=5, crit=gini",0.7886,0.5776,0.4128,0.4209
"depth=9, split=5, leaf=5, crit=entropy",0.7926,0.5795,0.4192,0.4294
"depth=10, split=5, leaf=5, crit=gini",0.7926,0.5799,0.4192,0.4296
"depth=10, split=5, leaf=5, crit=entropy",0.7952,0.6917,0.4301,0.4487
"depth=11, split=5, leaf=5, crit=gini",0.8125,0.6727,0.4577,0.4837
"depth=11, split=5, leaf=5, crit=entropy",0.8005,0.5836,0.4319,0.4462
"depth=12, split=5, leaf=5, crit=gini",0.8205,0.6715,0.4704,0.4980
"depth=12, split=5, leaf=5, crit=entropy",0.8085,0.5878,0.4447,0.4624
"depth=13, split=5, leaf=5, crit=gini",0.8271,0.7021,0.4826,0.5118
"depth=13, split=5, leaf=5, crit=entropy",0.8245,0.5942,0.4701,0.4918
"depth=14, split=5, leaf=5, crit=gini",0.8258,0.6974,0.4804,0.5089
"depth=14, split=5, leaf=5, crit=entropy",0.8298,0.6721,0.4883,0.5174
"depth=15, split=5, leaf=5, crit=gini",0.8338,0.6978,0.4947,0.5236
"depth=15, split=5, leaf=5, crit=entropy",0.8298,0.6598,0.4883,0.5179
"depth=16, split=5, leaf=5, crit=gini",0.8431,0.6963,0.5111,0.5388
"depth=16, split=5, leaf=5, crit=entropy",0.8338,0.6579,0.4962,0.5256
"depth=17, split=5, leaf=5, crit=gini",0.8431,0.7032,0.5177,0.5528
"depth=17, split=5, leaf=5, crit=entropy",0.8378,0.6761,0.5026,0.5322
"depth=18, split=5, leaf=5, crit=gini",0.8471,0.6658,0.5205,0.5464
"depth=18, split=5, leaf=5, crit=entropy",0.8444,0.6699,0.5147,0.5422
"depth=19, split=5, leaf=5, crit=gini",0.8551,0.6565,0.5317,0.5573
"depth=19, split=5, leaf=5, crit=entropy",0.8484,0.7029,0.5278,0.5619
"depth=20, split=5, leaf=5, crit=gini",0.8524,0.7136,0.5372,0.5678
"depth=20, split=5, leaf=5, crit=entropy",0.8497,0.6511,0.5248,0.5503
"depth=21, split=5, leaf=5, crit=gini",0.8537,0.6908,0.5423,0.5713
"depth=21, split=5, leaf=5, crit=entropy",0.8524,0.7115,0.5387,0.5685
"depth=22, split=5, leaf=5, crit=gini",0.8511,0.6632,0.5284,0.5524
"depth=22, split=5, leaf=5, crit=entropy",0.8537,0.6627,0.5342,0.5570
"depth=23, split=5, leaf=5, crit=gini",0.8551,0.6765,0.5460,0.5741
"depth=23, split=5, leaf=5, crit=entropy",0.8564,0.7119,0.5466,0.5749
"depth=24, split=5, leaf=5, crit=gini",0.8551,0.6762,0.5445,0.5728
"depth=24, split=5, leaf=5, crit=entropy",0.8564,0.6770,0.5466,0.5747
"depth=25, split=5, leaf=5, crit=gini",0.8590,0.7135,0.5508,0.5786
"depth=25, split=5, leaf=5, crit=entropy",0.8551,0.6762,0.5445,0.5728
"depth=26, split=5, leaf=5, crit=gini",0.8564,0.6885,0.5496,0.5764
"depth=26, split=5, leaf=5, crit=entropy",0.8577,0.6801,0.5487,0.5772
"depth=27, split=5, leaf=5, crit=gini",0.8590,0.6788,0.5524,0.5797
"depth=27, split=5, leaf=5, crit=entropy",0.8551,0.6614,0.5506,0.5763
"depth=28, split=5, leaf=5, crit=gini",0.8590,0.6898,0.5524,0.5788
"depth=28, split=5, leaf=5, crit=entropy",0.8577,0.6721,0.5533,0.5784
"depth=29, split=5, leaf=5, crit=gini",0.8577,0.6872,0.5518,0.5776
"depth=29, split=5, leaf=5, crit=entropy",0.8551,0.6683,0.5490,0.5742
"depth=30, split=5, leaf=5, crit=gini",0.8617,0.6743,0.5581,0.5826
"depth=30, split=5, leaf=5, crit=entropy",0.8577,0.6739,0.5518,0.5778
"depth=31, split=5, leaf=5, crit=gini",0.8577,0.6718,0.5518,0.5772
"depth=31, split=5, leaf=5, crit=entropy",0.8577,0.7032,0.5533,0.5774
"depth=32, split=5, leaf=5, crit=gini",0.8577,0.6606,0.5533,0.5781
"depth=32, split=5, leaf=5, crit=entropy",0.8590,0.6880,0.5539,0.5794
"depth=33, split=5, leaf=5, crit=gini",0.8590,0.6709,0.5554,0.5796
"depth=33, split=5, leaf=5, crit=entropy",0.8564,0.6580,0.5527,0.5769
"depth=34, split=5, leaf=5, crit=gini",0.8564,0.6544,0.5542,0.5768
"depth=34, split=5, leaf=5, crit=entropy",0.8590,0.6729,0.5554,0.5803
"depth=35, split=5, leaf=5, crit=gini",0.8617,0.6860,0.5597,0.5830
"depth=35, split=5, leaf=5, crit=entropy",0.8590,0.6615,0.5554,0.5799
"depth=36, split=5, leaf=5, crit=gini",0.8644,0.6859,0.5639,0.5859
"depth=36, split=5, leaf=5, crit=entropy",0.8590,0.6636,0.5554,0.5805
"depth=37, split=5, leaf=5, crit=gini",0.8617,0.6389,0.5642,0.5832
"depth=37, split=5, leaf=5, crit=entropy",0.8604,0.6452,0.5606,0.5828
"depth=38, split=5, leaf=5, crit=gini",0.8564,0.6548,0.5557,0.5781
"depth=38, split=5, leaf=5, crit=entropy",0.8564,0.6371,0.5557,0.5768
"depth=39, split=5, leaf=5, crit=gini",0.8630,0.7034,0.5633,0.5845
"depth=39, split=5, leaf=5, crit=entropy",0.8604,0.6502,0.5606,0.5825
"depth=40, split=5, leaf=5, crit=gini",0.8657,0.6817,0.5676,0.5870
"depth=40, split=5, leaf=5, crit=entropy",0.8644,0.6563,0.5654,0.5879
