Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.01,0.7061,0.3894,0.3749,0.3459
alpha:0.02,0.7048,0.3890,0.3745,0.3453
alpha:0.03,0.7061,0.3890,0.3749,0.3456
alpha:0.04,0.7061,0.3868,0.3749,0.3455
alpha:0.05,0.7061,0.3868,0.3749,0.3455
alpha:0.06,0.7061,0.3868,0.3749,0.3455
alpha:0.07,0.7048,0.3863,0.3745,0.3449
alpha:0.08,0.7048,0.3863,0.3745,0.3449
alpha:0.09,0.7048,0.3863,0.3745,0.3449
alpha:0.1,0.7048,0.3863,0.3745,0.3449
alpha:0.11,0.7048,0.3863,0.3745,0.3449
alpha:0.12,0.7048,0.3863,0.3745,0.3449
alpha:0.13,0.7048,0.3863,0.3745,0.3449
alpha:0.14,0.7048,0.3863,0.3745,0.3448
alpha:0.15,0.7048,0.3863,0.3745,0.3448
alpha:0.16,0.7048,0.3863,0.3745,0.3448
alpha:0.17,0.7048,0.3863,0.3745,0.3448
alpha:0.18,0.7035,0.3782,0.3741,0.3438
alpha:0.19,0.7035,0.3782,0.3741,0.3438
alpha:0.2,0.7048,0.3782,0.3745,0.3440
alpha:0.21,0.7048,0.3782,0.3745,0.3442
alpha:0.22,0.7035,0.3778,0.3741,0.3436
alpha:0.23,0.7035,0.3778,0.3741,0.3436
alpha:0.24,0.7048,0.3786,0.3757,0.3445
alpha:0.25,0.7048,0.3786,0.3757,0.3445
alpha:0.26,0.7061,0.3794,0.3773,0.3455
alpha:0.27,0.7061,0.3794,0.3773,0.3455
alpha:0.28,0.7048,0.3738,0.3757,0.3441
alpha:0.29,0.7048,0.3738,0.3757,0.3441
alpha:0.3,0.7048,0.3738,0.3757,0.3441
alpha:0.31,0.7048,0.3738,0.3757,0.3441
alpha:0.32,0.7048,0.3738,0.3757,0.3441
alpha:0.33,0.7048,0.3738,0.3757,0.3441
alpha:0.34,0.7048,0.3738,0.3757,0.3441
alpha:0.35,0.7048,0.3738,0.3757,0.3441
alpha:0.36,0.7035,0.3694,0.3753,0.3432
alpha:0.37,0.7035,0.3694,0.3753,0.3432
alpha:0.38,0.7035,0.3694,0.3753,0.3432
alpha:0.39,0.7035,0.3694,0.3753,0.3432
alpha:0.4,0.7048,0.3718,0.3757,0.3438
alpha:0.41,0.7048,0.3718,0.3757,0.3438
alpha:0.42,0.7048,0.3718,0.3757,0.3438
alpha:0.43,0.7048,0.3718,0.3757,0.3438
alpha:0.44,0.7048,0.3718,0.3757,0.3438
alpha:0.45,0.7048,0.3718,0.3757,0.3438
alpha:0.46,0.7048,0.3718,0.3757,0.3438
alpha:0.47,0.7021,0.3712,0.3749,0.3430
alpha:0.48,0.7021,0.3672,0.3749,0.3427
alpha:0.49,0.7021,0.3672,0.3749,0.3427
alpha:0.5,0.7021,0.3672,0.3749,0.3427
alpha:0.51,0.7021,0.3672,0.3749,0.3427
alpha:0.52,0.7021,0.3672,0.3749,0.3427
alpha:0.53,0.7021,0.3672,0.3749,0.3427
alpha:0.54,0.7021,0.3672,0.3749,0.3427
alpha:0.55,0.7021,0.3672,0.3749,0.3427
alpha:0.56,0.7021,0.3672,0.3749,0.3427
alpha:0.57,0.7021,0.3672,0.3749,0.3427
alpha:0.58,0.7021,0.3672,0.3749,0.3427
alpha:0.59,0.7021,0.3672,0.3749,0.3427
alpha:0.6,0.7035,0.3743,0.3779,0.3473
alpha:0.61,0.7035,0.3743,0.3779,0.3473
alpha:0.62,0.7035,0.3743,0.3779,0.3473
alpha:0.63,0.7035,0.3743,0.3779,0.3473
alpha:0.64,0.7035,0.3743,0.3779,0.3473
alpha:0.65,0.7035,0.3743,0.3779,0.3473
alpha:0.66,0.7035,0.3725,0.3779,0.3473
alpha:0.67,0.7035,0.3725,0.3779,0.3473
alpha:0.68,0.7035,0.3691,0.3779,0.3471
alpha:0.69,0.7035,0.3691,0.3779,0.3471
alpha:0.7,0.7048,0.3713,0.3783,0.3476
alpha:0.71,0.7048,0.3713,0.3783,0.3476
alpha:0.72,0.7048,0.3713,0.3783,0.3476
alpha:0.73,0.7035,0.3679,0.3779,0.3468
alpha:0.74,0.7035,0.3679,0.3779,0.3468
alpha:0.75,0.7035,0.3679,0.3779,0.3468
alpha:0.76,0.7035,0.3654,0.3779,0.3466
alpha:0.77,0.7035,0.3654,0.3779,0.3466
alpha:0.78,0.7048,0.3700,0.3783,0.3473
alpha:0.79,0.7048,0.3700,0.3783,0.3473
alpha:0.8,0.7048,0.3700,0.3783,0.3473
alpha:0.81,0.7048,0.3700,0.3783,0.3473
