Combinacion,Accuracy,Precision,Recall,F_score
"depth=1, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=1, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=2, split=5, leaf=5, crit=gini",0.7460,0.5816,0.3418,0.3011
"depth=2, split=5, leaf=5, crit=entropy",0.7434,0.5809,0.3376,0.2925
"depth=3, split=5, leaf=5, crit=gini",0.7593,0.5849,0.3631,0.3413
"depth=3, split=5, leaf=5, crit=entropy",0.7566,0.5842,0.3588,0.3336
"depth=4, split=5, leaf=5, crit=gini",0.7832,0.5912,0.4013,0.4037
"depth=4, split=5, leaf=5, crit=entropy",0.7886,0.5926,0.4098,0.4161
"depth=5, split=5, leaf=5, crit=gini",0.8098,0.5986,0.4437,0.4613
"depth=5, split=5, leaf=5, crit=entropy",0.8098,0.5986,0.4437,0.4613
"depth=6, split=5, leaf=5, crit=gini",0.8218,0.6020,0.4628,0.4841
"depth=6, split=5, leaf=5, crit=entropy",0.8258,0.6032,0.4692,0.4913
"depth=7, split=5, leaf=5, crit=gini",0.8338,0.6056,0.4820,0.5053
"depth=7, split=5, leaf=5, crit=entropy",0.8338,0.6056,0.4820,0.5053
"depth=8, split=5, leaf=5, crit=gini",0.8351,0.6060,0.4841,0.5075
"depth=8, split=5, leaf=5, crit=entropy",0.8338,0.6056,0.4820,0.5053
"depth=9, split=5, leaf=5, crit=gini",0.8391,0.6072,0.4904,0.5142
"depth=9, split=5, leaf=5, crit=entropy",0.8364,0.6064,0.4862,0.5098
"depth=10, split=5, leaf=5, crit=gini",0.8418,0.6080,0.4947,0.5186
"depth=10, split=5, leaf=5, crit=entropy",0.8364,0.6064,0.4862,0.5098
"depth=11, split=5, leaf=5, crit=gini",0.8418,0.6080,0.4947,0.5186
"depth=11, split=5, leaf=5, crit=entropy",0.8418,0.6080,0.4947,0.5186
"depth=12, split=5, leaf=5, crit=gini",0.8418,0.6080,0.4947,0.5186
"depth=12, split=5, leaf=5, crit=entropy",0.8404,0.6036,0.4926,0.5158
"depth=13, split=5, leaf=5, crit=gini",0.8431,0.6084,0.4968,0.5208
"depth=13, split=5, leaf=5, crit=entropy",0.8444,0.6050,0.4989,0.5222
"depth=14, split=5, leaf=5, crit=gini",0.8431,0.6008,0.4968,0.5194
"depth=14, split=5, leaf=5, crit=entropy",0.8444,0.6013,0.4989,0.5216
"depth=15, split=5, leaf=5, crit=gini",0.8431,0.6045,0.4968,0.5201
"depth=15, split=5, leaf=5, crit=entropy",0.8444,0.6050,0.4989,0.5222
"depth=16, split=5, leaf=5, crit=gini",0.8431,0.6008,0.4968,0.5194
"depth=16, split=5, leaf=5, crit=entropy",0.8444,0.6050,0.4989,0.5222
"depth=17, split=5, leaf=5, crit=gini",0.8444,0.6013,0.4989,0.5216
"depth=17, split=5, leaf=5, crit=entropy",0.8444,0.5978,0.5005,0.5225
"depth=18, split=5, leaf=5, crit=gini",0.8457,0.5887,0.5056,0.5256
"depth=18, split=5, leaf=5, crit=entropy",0.8457,0.6018,0.5011,0.5237
"depth=19, split=5, leaf=5, crit=gini",0.8444,0.5912,0.5035,0.5242
"depth=19, split=5, leaf=5, crit=entropy",0.8471,0.5956,0.5062,0.5275
"depth=20, split=5, leaf=5, crit=gini",0.8457,0.5887,0.5056,0.5256
"depth=20, split=5, leaf=5, crit=entropy",0.8444,0.5978,0.5005,0.5225
"depth=21, split=5, leaf=5, crit=gini",0.8444,0.5880,0.5035,0.5235
"depth=21, split=5, leaf=5, crit=entropy",0.8457,0.5950,0.5041,0.5254
"depth=22, split=5, leaf=5, crit=gini",0.8457,0.5859,0.5072,0.5265
"depth=22, split=5, leaf=5, crit=entropy",0.8444,0.5912,0.5035,0.5242
"depth=23, split=5, leaf=5, crit=gini",0.8484,0.5873,0.5114,0.5305
"depth=23, split=5, leaf=5, crit=entropy",0.8484,0.5931,0.5099,0.5304
"depth=24, split=5, leaf=5, crit=gini",0.8524,0.5895,0.5193,0.5379
"depth=24, split=5, leaf=5, crit=entropy",0.8471,0.5866,0.5093,0.5285
"depth=25, split=5, leaf=5, crit=gini",0.8524,0.5868,0.5193,0.5372
"depth=25, split=5, leaf=5, crit=entropy",0.8524,0.5922,0.5178,0.5372
"depth=26, split=5, leaf=5, crit=gini",0.8537,0.5900,0.5199,0.5384
"depth=26, split=5, leaf=5, crit=entropy",0.8511,0.5860,0.5172,0.5353
"depth=27, split=5, leaf=5, crit=gini",0.8524,0.5817,0.5208,0.5373
"depth=27, split=5, leaf=5, crit=entropy",0.8484,0.5848,0.5145,0.5327
"depth=28, split=5, leaf=5, crit=gini",0.8564,0.5794,0.5287,0.5431
"depth=28, split=5, leaf=5, crit=entropy",0.8511,0.5812,0.5202,0.5367
"depth=29, split=5, leaf=5, crit=gini",0.8551,0.5807,0.5251,0.5405
"depth=29, split=5, leaf=5, crit=entropy",0.8524,0.5794,0.5224,0.5380
"depth=30, split=5, leaf=5, crit=gini",0.8551,0.5763,0.5266,0.5405
"depth=30, split=5, leaf=5, crit=entropy",0.8537,0.5875,0.5214,0.5392
"depth=31, split=5, leaf=5, crit=gini",0.8564,0.5794,0.5287,0.5431
"depth=31, split=5, leaf=5, crit=entropy",0.8551,0.5830,0.5235,0.5398
"depth=32, split=5, leaf=5, crit=gini",0.8551,0.5727,0.5312,0.5432
"depth=32, split=5, leaf=5, crit=entropy",0.8551,0.5710,0.5327,0.5439
"depth=33, split=5, leaf=5, crit=gini",0.8524,0.5752,0.5254,0.5394
"depth=33, split=5, leaf=5, crit=entropy",0.8564,0.5774,0.5302,0.5437
"depth=34, split=5, leaf=5, crit=gini",0.8551,0.5689,0.5327,0.5432
"depth=34, split=5, leaf=5, crit=entropy",0.8551,0.5769,0.5296,0.5432
"depth=35, split=5, leaf=5, crit=gini",0.8577,0.5741,0.5339,0.5456
"depth=35, split=5, leaf=5, crit=entropy",0.8564,0.5698,0.5348,0.5451
"depth=36, split=5, leaf=5, crit=gini",0.8604,0.5795,0.5351,0.5480
"depth=36, split=5, leaf=5, crit=entropy",0.8577,0.5727,0.5369,0.5475
"depth=37, split=5, leaf=5, crit=gini",0.8551,0.5619,0.5357,0.5433
"depth=37, split=5, leaf=5, crit=entropy",0.8537,0.5680,0.5306,0.5414
"depth=38, split=5, leaf=5, crit=gini",0.8564,0.5662,0.5363,0.5451
"depth=38, split=5, leaf=5, crit=entropy",0.8590,0.5696,0.5391,0.5480
"depth=39, split=5, leaf=5, crit=gini",0.8590,0.5732,0.5375,0.5481
"depth=39, split=5, leaf=5, crit=entropy",0.8590,0.5715,0.5391,0.5487
"depth=40, split=5, leaf=5, crit=gini",0.8577,0.5687,0.5369,0.5462
"depth=40, split=5, leaf=5, crit=entropy",0.8577,0.5687,0.5369,0.5462
