Combinacion,Accuracy,Precision,Recall,F_score
"k=1, p=1, uniform",0.7327,0.6327,0.6335,0.5794
"k=1, p=1, distance",0.7327,0.6327,0.6335,0.5794
"k=1, p=2, uniform",0.7420,0.6039,0.6014,0.5695
"k=1, p=2, distance",0.7420,0.6039,0.6014,0.5695
"k=3, p=1, uniform",0.7992,0.5779,0.5828,0.5352
"k=3, p=1, distance",0.7926,0.5466,0.5850,0.5433
"k=3, p=2, uniform",0.7939,0.5856,0.5795,0.5436
"k=3, p=2, distance",0.7872,0.5365,0.5673,0.5355
"k=5, p=1, uniform",0.8005,0.6600,0.5819,0.5351
"k=5, p=1, distance",0.7912,0.5300,0.5777,0.5298
"k=5, p=2, uniform",0.7939,0.5716,0.5698,0.5281
"k=5, p=2, distance",0.7912,0.5502,0.5722,0.5389
"k=7, p=1, uniform",0.8577,0.7121,0.5299,0.5586
"k=7, p=1, distance",0.8497,0.6032,0.5181,0.5413
"k=7, p=2, uniform",0.8564,0.5897,0.5257,0.5435
"k=7, p=2, distance",0.8471,0.5829,0.5200,0.5382
"k=9, p=1, uniform",0.8497,0.5969,0.5120,0.5331
"k=9, p=1, distance",0.8471,0.5982,0.5139,0.5362
"k=9, p=2, uniform",0.8537,0.5778,0.5245,0.5393
"k=9, p=2, distance",0.8431,0.5725,0.5151,0.5314
