Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.01,0.8005,0.5626,0.5923,0.5741
alpha:0.02,0.8005,0.5626,0.5923,0.5741
alpha:0.03,0.8005,0.5626,0.5923,0.5741
alpha:0.04,0.8019,0.5638,0.5944,0.5756
alpha:0.05,0.8019,0.5638,0.5944,0.5756
alpha:0.06,0.8019,0.5638,0.5944,0.5756
alpha:0.07,0.8019,0.5638,0.5944,0.5756
alpha:0.08,0.8019,0.5638,0.5944,0.5756
alpha:0.09,0.8019,0.5638,0.5944,0.5756
alpha:0.1,0.8032,0.5659,0.5965,0.5775
alpha:0.11,0.8032,0.5659,0.5965,0.5775
alpha:0.12,0.8032,0.5659,0.5965,0.5775
alpha:0.13,0.8032,0.5659,0.5965,0.5775
alpha:0.14,0.8032,0.5659,0.5965,0.5775
alpha:0.15,0.8032,0.5659,0.5965,0.5775
alpha:0.16,0.8032,0.5659,0.5965,0.5775
alpha:0.17,0.8032,0.5659,0.5965,0.5775
alpha:0.18,0.8032,0.5659,0.5965,0.5775
alpha:0.19,0.8032,0.5659,0.5965,0.5775
alpha:0.2,0.8032,0.5659,0.5965,0.5775
alpha:0.21,0.8032,0.5659,0.5965,0.5775
alpha:0.22,0.8032,0.5659,0.5965,0.5775
alpha:0.23,0.8032,0.5659,0.5965,0.5775
alpha:0.24,0.8032,0.5659,0.5965,0.5775
alpha:0.25,0.8032,0.5659,0.5965,0.5775
alpha:0.26,0.8032,0.5659,0.5965,0.5775
alpha:0.27,0.8032,0.5659,0.5965,0.5775
alpha:0.28,0.8032,0.5659,0.5965,0.5775
alpha:0.29,0.8019,0.5647,0.5944,0.5760
alpha:0.3,0.8019,0.5647,0.5944,0.5760
alpha:0.31,0.8005,0.5634,0.5923,0.5745
alpha:0.32,0.8019,0.5656,0.5944,0.5765
alpha:0.33,0.8019,0.5656,0.5944,0.5765
alpha:0.34,0.8005,0.5566,0.5856,0.5674
alpha:0.35,0.8005,0.5566,0.5856,0.5674
alpha:0.36,0.8019,0.5583,0.5877,0.5693
alpha:0.37,0.8019,0.5583,0.5877,0.5693
alpha:0.38,0.8032,0.5672,0.5965,0.5784
alpha:0.39,0.8032,0.5672,0.5965,0.5784
alpha:0.4,0.8032,0.5672,0.5965,0.5784
alpha:0.41,0.8032,0.5672,0.5965,0.5784
alpha:0.42,0.8032,0.5672,0.5965,0.5784
alpha:0.43,0.8032,0.5672,0.5965,0.5784
alpha:0.44,0.8032,0.5672,0.5965,0.5784
alpha:0.45,0.8032,0.5672,0.5965,0.5784
alpha:0.46,0.8032,0.5672,0.5965,0.5784
alpha:0.47,0.8032,0.5672,0.5965,0.5784
alpha:0.48,0.8032,0.5672,0.5965,0.5784
alpha:0.49,0.8032,0.5672,0.5965,0.5784
alpha:0.5,0.8032,0.5672,0.5965,0.5784
alpha:0.51,0.8032,0.5672,0.5965,0.5784
alpha:0.52,0.8032,0.5672,0.5965,0.5784
alpha:0.53,0.8032,0.5677,0.5965,0.5787
alpha:0.54,0.8032,0.5677,0.5965,0.5787
alpha:0.55,0.8032,0.5677,0.5965,0.5787
alpha:0.56,0.8019,0.5656,0.5944,0.5768
alpha:0.57,0.8019,0.5656,0.5944,0.5768
alpha:0.58,0.8019,0.5656,0.5944,0.5768
alpha:0.59,0.8019,0.5656,0.5944,0.5768
alpha:0.6,0.8019,0.5656,0.5944,0.5768
alpha:0.61,0.8019,0.5656,0.5944,0.5768
alpha:0.62,0.8005,0.5641,0.5938,0.5757
alpha:0.63,0.8005,0.5641,0.5938,0.5757
alpha:0.64,0.8005,0.5641,0.5938,0.5757
alpha:0.65,0.8005,0.5641,0.5938,0.5757
alpha:0.66,0.8005,0.5641,0.5938,0.5757
alpha:0.67,0.8005,0.5641,0.5938,0.5757
alpha:0.68,0.8005,0.5641,0.5938,0.5757
alpha:0.69,0.8005,0.5641,0.5938,0.5757
alpha:0.7,0.8005,0.5641,0.5938,0.5757
alpha:0.71,0.8005,0.5641,0.5938,0.5757
alpha:0.72,0.8005,0.5641,0.5938,0.5757
alpha:0.73,0.8005,0.5633,0.5938,0.5753
alpha:0.74,0.8005,0.5633,0.5938,0.5753
alpha:0.75,0.8005,0.5633,0.5938,0.5753
alpha:0.76,0.8005,0.5633,0.5938,0.5753
alpha:0.77,0.8005,0.5633,0.5938,0.5753
alpha:0.78,0.8005,0.5633,0.5938,0.5753
alpha:0.79,0.7992,0.5620,0.5932,0.5743
alpha:0.8,0.8005,0.5633,0.5938,0.5753
alpha:0.81,0.7992,0.5622,0.5932,0.5743
alpha:0.82,0.7992,0.5622,0.5932,0.5743
alpha:0.83,0.7992,0.5622,0.5932,0.5743
alpha:0.84,0.7992,0.5622,0.5932,0.5743
alpha:0.85,0.7992,0.5622,0.5932,0.5743
alpha:0.86,0.7992,0.5622,0.5932,0.5743
alpha:0.87,0.7992,0.5622,0.5932,0.5743
alpha:0.88,0.7992,0.5622,0.5932,0.5743
alpha:0.89,0.7979,0.5609,0.5926,0.5733
alpha:0.9,0.7979,0.5609,0.5926,0.5733
alpha:0.91,0.7979,0.5609,0.5926,0.5733
alpha:0.92,0.7965,0.5596,0.5920,0.5723
alpha:0.93,0.7965,0.5596,0.5920,0.5723
alpha:0.94,0.7965,0.5596,0.5920,0.5723
alpha:0.95,0.7965,0.5596,0.5920,0.5723
alpha:0.96,0.7965,0.5596,0.5920,0.5723
alpha:0.97,0.7965,0.5596,0.5920,0.5723
alpha:0.98,0.7965,0.5596,0.5920,0.5723
alpha:0.99,0.7965,0.5596,0.5920,0.5723
alpha:1.0,0.7965,0.5596,0.5920,0.5723
