Combinacion,Accuracy,Precision,Recall,F_score
"depth=1, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=1, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=2, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=2, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=3, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=3, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=4, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=4, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=5, split=5, leaf=5, crit=gini",0.7434,0.5809,0.3376,0.2925
"depth=5, split=5, leaf=5, crit=entropy",0.7420,0.5806,0.3355,0.2881
"depth=6, split=5, leaf=5, crit=gini",0.7473,0.5819,0.3439,0.3053
"depth=6, split=5, leaf=5, crit=entropy",0.7473,0.5819,0.3439,0.3053
"depth=7, split=5, leaf=5, crit=gini",0.7540,0.5836,0.3546,0.3258
"depth=7, split=5, leaf=5, crit=entropy",0.7580,0.5846,0.3609,0.3375
"depth=8, split=5, leaf=5, crit=gini",0.7766,0.5894,0.3907,0.3875
"depth=8, split=5, leaf=5, crit=entropy",0.7779,0.5898,0.3928,0.3908
"depth=9, split=5, leaf=5, crit=gini",0.7819,0.5908,0.3992,0.4005
"depth=9, split=5, leaf=5, crit=entropy",0.7872,0.5923,0.4076,0.4130
"depth=10, split=5, leaf=5, crit=gini",0.8005,0.5959,0.4289,0.4423
"depth=10, split=5, leaf=5, crit=entropy",0.7912,0.5934,0.4140,0.4221
"depth=11, split=5, leaf=5, crit=gini",0.8085,0.5864,0.4416,0.4576
"depth=11, split=5, leaf=5, crit=entropy",0.8045,0.5971,0.4352,0.4506
"depth=12, split=5, leaf=5, crit=gini",0.8138,0.5997,0.4501,0.4691
"depth=12, split=5, leaf=5, crit=entropy",0.8032,0.5901,0.4331,0.4473
"depth=13, split=5, leaf=5, crit=gini",0.8245,0.5933,0.4671,0.4877
"depth=13, split=5, leaf=5, crit=entropy",0.8245,0.5933,0.4671,0.4877
"depth=14, split=5, leaf=5, crit=gini",0.8271,0.5944,0.4713,0.4924
"depth=14, split=5, leaf=5, crit=entropy",0.8245,0.5933,0.4671,0.4877
"depth=15, split=5, leaf=5, crit=gini",0.8324,0.5966,0.4798,0.5017
"depth=15, split=5, leaf=5, crit=entropy",0.8364,0.5982,0.4862,0.5085
"depth=16, split=5, leaf=5, crit=gini",0.8311,0.5965,0.4792,0.5014
"depth=16, split=5, leaf=5, crit=entropy",0.8364,0.9314,0.4928,0.5236
"depth=17, split=5, leaf=5, crit=gini",0.8351,0.5976,0.4841,0.5062
"depth=17, split=5, leaf=5, crit=entropy",0.8338,0.5976,0.4835,0.5059
"depth=18, split=5, leaf=5, crit=gini",0.8391,0.5992,0.4904,0.5129
"depth=18, split=5, leaf=5, crit=entropy",0.8418,0.6007,0.4962,0.5191
"depth=19, split=5, leaf=5, crit=gini",0.8404,0.5931,0.4971,0.5188
"depth=19, split=5, leaf=5, crit=entropy",0.8404,0.5997,0.4926,0.5151
"depth=20, split=5, leaf=5, crit=gini",0.8457,0.5983,0.5026,0.5246
"depth=20, split=5, leaf=5, crit=entropy",0.8457,0.5983,0.5026,0.5246
"depth=21, split=5, leaf=5, crit=gini",0.8471,0.5956,0.5062,0.5275
"depth=21, split=5, leaf=5, crit=entropy",0.8471,0.9288,0.5129,0.5428
"depth=22, split=5, leaf=5, crit=gini",0.8497,0.6000,0.5090,0.5308
"depth=22, split=5, leaf=5, crit=entropy",0.8444,0.5949,0.5035,0.5251
"depth=23, split=5, leaf=5, crit=gini",0.8497,0.6042,0.5105,0.5335
"depth=23, split=5, leaf=5, crit=entropy",0.8471,0.9288,0.5129,0.5428
"depth=24, split=5, leaf=5, crit=gini",0.8471,0.5993,0.5062,0.5284
"depth=24, split=5, leaf=5, crit=entropy",0.8471,0.7595,0.5159,0.5450
"depth=25, split=5, leaf=5, crit=gini",0.8484,0.5967,0.5099,0.5313
"depth=25, split=5, leaf=5, crit=entropy",0.8457,0.5924,0.5072,0.5280
"depth=26, split=5, leaf=5, crit=gini",0.8484,0.7600,0.5165,0.5455
"depth=26, split=5, leaf=5, crit=entropy",0.8457,0.5869,0.5087,0.5284
"depth=27, split=5, leaf=5, crit=gini",0.8457,0.5965,0.5072,0.5292
"depth=27, split=5, leaf=5, crit=entropy",0.8497,0.7056,0.5202,0.5489
"depth=28, split=5, leaf=5, crit=gini",0.8511,0.5949,0.5157,0.5361
"depth=28, split=5, leaf=5, crit=entropy",0.8471,0.6803,0.5175,0.5468
"depth=29, split=5, leaf=5, crit=gini",0.8511,0.7614,0.5223,0.5510
"depth=29, split=5, leaf=5, crit=entropy",0.8484,0.6808,0.5181,0.5474
"depth=30, split=5, leaf=5, crit=gini",0.8484,0.7543,0.5196,0.5471
"depth=30, split=5, leaf=5, crit=entropy",0.8471,0.6986,0.5190,0.5464
"depth=31, split=5, leaf=5, crit=gini",0.8511,0.7557,0.5238,0.5511
"depth=31, split=5, leaf=5, crit=entropy",0.8497,0.5913,0.5135,0.5334
"depth=32, split=5, leaf=5, crit=gini",0.8524,0.7538,0.5275,0.5538
"depth=32, split=5, leaf=5, crit=entropy",0.8511,0.7033,0.5223,0.5502
"depth=33, split=5, leaf=5, crit=gini",0.8497,0.5755,0.5166,0.5324
"depth=33, split=5, leaf=5, crit=entropy",0.8524,0.7462,0.5290,0.5533
"depth=34, split=5, leaf=5, crit=gini",0.8537,0.7490,0.5281,0.5531
"depth=34, split=5, leaf=5, crit=entropy",0.8537,0.6994,0.5296,0.5556
"depth=35, split=5, leaf=5, crit=gini",0.8537,0.6994,0.5296,0.5556
"depth=35, split=5, leaf=5, crit=entropy",0.8537,0.5814,0.5260,0.5418
"depth=36, split=5, leaf=5, crit=gini",0.8524,0.6933,0.5275,0.5524
"depth=36, split=5, leaf=5, crit=entropy",0.8511,0.6981,0.5269,0.5531
"depth=37, split=5, leaf=5, crit=gini",0.8551,0.6977,0.5332,0.5583
"depth=37, split=5, leaf=5, crit=entropy",0.8524,0.6911,0.5290,0.5531
"depth=38, split=5, leaf=5, crit=gini",0.8577,0.7476,0.5472,0.5766
"depth=38, split=5, leaf=5, crit=entropy",0.8590,0.6974,0.5396,0.5633
"depth=39, split=5, leaf=5, crit=gini",0.8577,0.7430,0.5405,0.5616
"depth=39, split=5, leaf=5, crit=entropy",0.8551,0.7478,0.5332,0.5571
"depth=40, split=5, leaf=5, crit=gini",0.8564,0.7418,0.5369,0.5584
"depth=40, split=5, leaf=5, crit=entropy",0.8590,0.7950,0.5508,0.5777
