Combinacion,Accuracy,Precision,Recall,F_score
"k=1, p=1, uniform",0.8005,0.5608,0.5118,0.5306
"k=1, p=1, distance",0.8005,0.5608,0.5118,0.5306
"k=1, p=2, uniform",0.8072,0.5622,0.5300,0.5438
"k=1, p=2, distance",0.8072,0.5622,0.5300,0.5438
"k=3, p=1, uniform",0.8524,0.5903,0.5224,0.5409
"k=3, p=1, distance",0.8457,0.5882,0.5209,0.5406
"k=3, p=2, uniform",0.8537,0.5868,0.5260,0.5434
"k=3, p=2, distance",0.8457,0.5865,0.5209,0.5405
"k=5, p=1, uniform",0.8511,0.5975,0.5141,0.5351
"k=5, p=1, distance",0.8444,0.5950,0.5127,0.5349
"k=5, p=2, uniform",0.8537,0.6747,0.5296,0.5562
"k=5, p=2, distance",0.8457,0.6241,0.5245,0.5510
"k=7, p=1, uniform",0.8444,0.5982,0.5020,0.5243
"k=7, p=1, distance",0.8404,0.5956,0.5032,0.5263
"k=7, p=2, uniform",0.8537,0.5991,0.5184,0.5393
"k=7, p=2, distance",0.8471,0.5957,0.5154,0.5371
"k=9, p=1, uniform",0.8431,0.5973,0.4999,0.5219
"k=9, p=1, distance",0.8378,0.5940,0.4990,0.5218
"k=9, p=2, uniform",0.8497,0.6000,0.5105,0.5323
"k=9, p=2, distance",0.8444,0.5970,0.5096,0.5321
"k=1, p=1, uniform",0.8005,0.5608,0.5118,0.5306
"k=1, p=1, distance",0.8005,0.5608,0.5118,0.5306
"k=1, p=2, uniform",0.8072,0.5622,0.5300,0.5438
"k=1, p=2, distance",0.8072,0.5622,0.5300,0.5438
"k=3, p=1, uniform",0.8524,0.5903,0.5224,0.5409
"k=3, p=1, distance",0.8457,0.5882,0.5209,0.5406
"k=3, p=2, uniform",0.8537,0.5868,0.5260,0.5434
"k=3, p=2, distance",0.8457,0.5865,0.5209,0.5405
"k=5, p=1, uniform",0.8511,0.5975,0.5141,0.5351
"k=5, p=1, distance",0.8444,0.5950,0.5127,0.5349
"k=5, p=2, uniform",0.8537,0.6747,0.5296,0.5562
"k=5, p=2, distance",0.8457,0.6241,0.5245,0.5510
"k=7, p=1, uniform",0.8444,0.5982,0.5020,0.5243
"k=7, p=1, distance",0.8404,0.5956,0.5032,0.5263
"k=7, p=2, uniform",0.8537,0.5991,0.5184,0.5393
"k=7, p=2, distance",0.8471,0.5957,0.5154,0.5371
"k=9, p=1, uniform",0.8431,0.5973,0.4999,0.5219
"k=9, p=1, distance",0.8378,0.5940,0.4990,0.5218
"k=9, p=2, uniform",0.8497,0.6000,0.5105,0.5323
"k=9, p=2, distance",0.8444,0.5970,0.5096,0.5321
