Combinacion,Accuracy,Precision,Recall,F_score
"depth=1, split=5, leaf=5, crit=gini",0.7407,0.2469,0.3333,0.2837
"depth=1, split=5, leaf=5, crit=entropy",0.7407,0.2469,0.3333,0.2837
"depth=2, split=5, leaf=5, crit=gini",0.7420,0.5806,0.3355,0.2881
"depth=2, split=5, leaf=5, crit=entropy",0.7447,0.5812,0.3397,0.2968
"depth=3, split=5, leaf=5, crit=gini",0.7699,0.5877,0.3800,0.3705
"depth=3, split=5, leaf=5, crit=entropy",0.7473,0.5819,0.3439,0.3053
"depth=4, split=5, leaf=5, crit=gini",0.7832,0.5912,0.4013,0.4037
"depth=4, split=5, leaf=5, crit=entropy",0.7806,0.5905,0.3970,0.3973
"depth=5, split=5, leaf=5, crit=gini",0.8059,0.5974,0.4374,0.4533
"depth=5, split=5, leaf=5, crit=entropy",0.8005,0.5959,0.4289,0.4423
"depth=6, split=5, leaf=5, crit=gini",0.8152,0.6001,0.4522,0.4716
"depth=6, split=5, leaf=5, crit=entropy",0.8125,0.5993,0.4480,0.4665
"depth=7, split=5, leaf=5, crit=gini",0.8245,0.5933,0.4671,0.4877
"depth=7, split=5, leaf=5, crit=entropy",0.8271,0.5989,0.4713,0.4931
"depth=8, split=5, leaf=5, crit=gini",0.8338,0.5971,0.4820,0.5040
"depth=8, split=5, leaf=5, crit=entropy",0.8298,0.5999,0.4756,0.4977
"depth=9, split=5, leaf=5, crit=gini",0.8378,0.5987,0.4883,0.5107
"depth=9, split=5, leaf=5, crit=entropy",0.8351,0.5976,0.4841,0.5062
"depth=10, split=5, leaf=5, crit=gini",0.8444,0.5977,0.4989,0.5209
"depth=10, split=5, leaf=5, crit=entropy",0.8418,0.6003,0.4947,0.5173
"depth=11, split=5, leaf=5, crit=gini",0.8457,0.5983,0.5011,0.5230
"depth=11, split=5, leaf=5, crit=entropy",0.8418,0.6003,0.4947,0.5173
"depth=12, split=5, leaf=5, crit=gini",0.8444,0.5851,0.5050,0.5244
"depth=12, split=5, leaf=5, crit=entropy",0.8457,0.6018,0.5011,0.5237
"depth=13, split=5, leaf=5, crit=gini",0.8444,0.5824,0.5066,0.5253
"depth=13, split=5, leaf=5, crit=entropy",0.8444,0.5911,0.5020,0.5227
"depth=14, split=5, leaf=5, crit=gini",0.8471,0.5836,0.5093,0.5278
"depth=14, split=5, leaf=5, crit=entropy",0.8497,0.5878,0.5120,0.5311
"depth=15, split=5, leaf=5, crit=gini",0.8497,0.5880,0.5135,0.5325
"depth=15, split=5, leaf=5, crit=entropy",0.8511,0.5833,0.5172,0.5346
"depth=16, split=5, leaf=5, crit=gini",0.8484,0.5794,0.5145,0.5314
"depth=16, split=5, leaf=5, crit=entropy",0.8497,0.5826,0.5151,0.5326
"depth=17, split=5, leaf=5, crit=gini",0.8497,0.5802,0.5166,0.5334
"depth=17, split=5, leaf=5, crit=entropy",0.8497,0.5853,0.5151,0.5333
"depth=18, split=5, leaf=5, crit=gini",0.8497,0.5779,0.5181,0.5341
"depth=18, split=5, leaf=5, crit=entropy",0.8471,0.5762,0.5139,0.5302
"depth=19, split=5, leaf=5, crit=gini",0.8551,0.5810,0.5266,0.5418
"depth=19, split=5, leaf=5, crit=entropy",0.8511,0.5786,0.5202,0.5361
"depth=20, split=5, leaf=5, crit=gini",0.8551,0.5786,0.5266,0.5412
"depth=20, split=5, leaf=5, crit=entropy",0.8511,0.5762,0.5202,0.5354
"depth=21, split=5, leaf=5, crit=gini",0.8537,0.5734,0.5260,0.5393
"depth=21, split=5, leaf=5, crit=entropy",0.8524,0.5794,0.5224,0.5380
"depth=22, split=5, leaf=5, crit=gini",0.8537,0.5715,0.5275,0.5400
"depth=22, split=5, leaf=5, crit=entropy",0.8564,0.5794,0.5287,0.5431
"depth=23, split=5, leaf=5, crit=gini",0.8564,0.5774,0.5302,0.5437
"depth=23, split=5, leaf=5, crit=entropy",0.8577,0.5741,0.5339,0.5456
"depth=24, split=5, leaf=5, crit=gini",0.8590,0.5729,0.5360,0.5468
"depth=24, split=5, leaf=5, crit=entropy",0.8564,0.5729,0.5302,0.5425
"depth=25, split=5, leaf=5, crit=gini",0.8577,0.5717,0.5324,0.5437
"depth=25, split=5, leaf=5, crit=entropy",0.8564,0.5694,0.5333,0.5438
"depth=26, split=5, leaf=5, crit=gini",0.8577,0.5738,0.5324,0.5443
"depth=26, split=5, leaf=5, crit=entropy",0.8590,0.5725,0.5345,0.5455
"depth=27, split=5, leaf=5, crit=gini",0.8564,0.5690,0.5318,0.5425
"depth=27, split=5, leaf=5, crit=entropy",0.8551,0.5649,0.5327,0.5420
"depth=28, split=5, leaf=5, crit=gini",0.8617,0.5658,0.5433,0.5498
"depth=28, split=5, leaf=5, crit=entropy",0.8564,0.5654,0.5333,0.5425
"depth=29, split=5, leaf=5, crit=gini",0.8590,0.5639,0.5391,0.5462
"depth=29, split=5, leaf=5, crit=entropy",0.8590,0.5708,0.5360,0.5462
"depth=30, split=5, leaf=5, crit=gini",0.8590,0.5625,0.5406,0.5468
"depth=30, split=5, leaf=5, crit=entropy",0.8590,0.5639,0.5391,0.5462
"depth=31, split=5, leaf=5, crit=gini",0.8657,0.5685,0.5497,0.5550
"depth=31, split=5, leaf=5, crit=entropy",0.8604,0.5667,0.5412,0.5486
"depth=32, split=5, leaf=5, crit=gini",0.8604,0.5631,0.5412,0.5474
"depth=32, split=5, leaf=5, crit=entropy",0.8617,0.5691,0.5418,0.5498
"depth=33, split=5, leaf=5, crit=gini",0.8617,0.5691,0.5418,0.5498
"depth=33, split=5, leaf=5, crit=entropy",0.8604,0.5663,0.5397,0.5474
"depth=34, split=5, leaf=5, crit=gini",0.8577,0.5663,0.5354,0.5444
"depth=34, split=5, leaf=5, crit=entropy",0.8617,0.5676,0.5433,0.5504
"depth=35, split=5, leaf=5, crit=gini",0.8630,0.5667,0.5454,0.5515
"depth=35, split=5, leaf=5, crit=entropy",0.8604,0.5652,0.5427,0.5492
"depth=36, split=5, leaf=5, crit=gini",0.8657,0.5703,0.5497,0.5557
"depth=36, split=5, leaf=5, crit=entropy",0.8590,0.5587,0.5452,0.5486
"depth=37, split=5, leaf=5, crit=gini",0.8630,0.5685,0.5454,0.5522
"depth=37, split=5, leaf=5, crit=entropy",0.8617,0.5658,0.5433,0.5498
"depth=38, split=5, leaf=5, crit=gini",0.8630,0.5620,0.5470,0.5509
"depth=38, split=5, leaf=5, crit=entropy",0.8644,0.5676,0.5476,0.5533
"depth=39, split=5, leaf=5, crit=gini",0.8670,0.5677,0.5518,0.5562
"depth=39, split=5, leaf=5, crit=entropy",0.8617,0.5627,0.5448,0.5498
"depth=40, split=5, leaf=5, crit=gini",0.8630,0.5624,0.5485,0.5521
"depth=40, split=5, leaf=5, crit=entropy",0.8577,0.5578,0.5430,0.5469
