reviewId,content,gender,location,date,score
69a080df-b7c8-4b87-81d3-74f795daf05b,This was very bad because when delete the Instagram next new account will create old account didn't login why,male,"Philadelphia, United States",2023-11-03,NEGATIVO
e07d4cfb-2adb-41cc-8e1f-a6dcdc7b8096,The best part is that reels are fun and entertaining. It makes the experience better overall.,male,"Busan, South Korea",2011-12-04,POSITIVO
cf14fa27-d5b0-495a-b7bc-b076856c7b1b,Nice,male,"Vienna, Austria",2011-05-29,POSITIVO
11b73bfd-a785-48da-8dec-31f7e31e02b1,What stands out is that it helps me stay connected with friends. It works really well for me.,male,"Cancun, Mexico",2013-03-26,POSITIVO
8faff1c4-ef07-4879-bebc-7121cb247faa,The interface reacts instantly to gestures.,female,"Guayaquil, Ecuador",2014-06-18,POSITIVO
1e661517-7729-4b62-a902-4df78098c46b,One thing I like is that content discovery is very easy. It definitely stands out.,male,"Valencia, Spain",2011-03-12,POSITIVO
38c8fb44-c1ca-40f0-8cdd-3bbc48f95217,Greay,male,"Dubai, United Arab Emirates",2011-11-01,POSITIVO
8429b45f-4449-4896-bdd7-93858df1cf9b,This is best social media app,male,"Madrid, Spain",2011-06-05,POSITIVO
e2be2fc6-cfb7-4f07-9c15-ecd2819103f0,Excellent,male,"Athens, Greece",2011-04-28,POSITIVO
a543e760-287b-4b9a-8920-1a8ab232a962,Nice,male,"Kuala Lumpur, Malaysia",2011-07-30,POSITIVO
ac3ffe37-326c-4ce1-84b9-34c34faaba7c,It's always shows something went to wrong,male,"Tijuana, Mexico",2018-11-03,NEUTRO
3739e379-97a1-42f1-a464-6f4502f947e1,Waav,male,"Calgary, Canada",2018-10-16,NEUTRO
0c7a4e32-8568-4d5c-bbcb-f53323c95ea2,Good app,male,"Osaka, Japan",2012-01-08,POSITIVO
54157ac9-7d98-4245-b62b-de5a239a078e,Lovely,male,"Ho Chi Minh City, Vietnam",2012-02-20,POSITIVO
44254047-ff77-4b4a-89ea-c3f71775213c,Good,male,"San Francisco, United States",2016-03-12,POSITIVO
4b188bfa-ed26-4b46-9279-9f63e800146e,Amazing aap,female,"Melbourne, Australia",2015-02-17,POSITIVO
e62ebf4b-e80e-434c-bedb-88036f1d118c,Kanha ff,male,"Lusaka, Zambia",2012-05-16,POSITIVO
2cefcaf2-575d-431a-b278-2f805fa6c421,wow,male,"Taipei, Taiwan",2022-08-14,NEGATIVO
cdc4f46a-01fe-4680-987c-52bad3ff5542,"Honestly, it makes me compare myself too much. It gets frustrating after a while.",male,"Phuket, Thailand",2022-05-03,NEGATIVO
80c78aef-9a33-45c5-acee-45ab7685dc03,Hello sar Mera Instagram per view nahin aata hai to kya Karen ham kyunki vah follover 8000 hai aur bhi aata hi nahin hai,male,"Edinburgh, United Kingdom",2010-11-25,POSITIVO
62287bdc-f52d-4f4d-b147-df2e35a239c1,Super app,male,"Dar es Salaam, Tanzania",2015-02-06,POSITIVO
5344ba3a-27e4-449e-b859-6583875174e5,Nice plate farmer for viral reel's,male,"Guangzhou, China",2012-03-03,POSITIVO
a26481a1-8488-4f2d-aaa9-98860e6df279,My experience is very good i love it it was so good for me and others otherwise it is very good for time pass😍😘❤💙💔💓💜💚💛💕💖💘💗💝💞💟👍👌,male,"Geneva, Switzerland",2010-10-11,POSITIVO
f4046955-e316-4322-b266-dd18de7e222e,"So far, it’s great for growing an audience.",male,"Bangalore, India",2012-01-02,POSITIVO
ebd8e4ca-da85-4408-942d-85b9f232445a,Best app,male,"Budapest, Hungary",2011-05-29,POSITIVO
4943b434-b056-46c5-b635-1917ff7a455d,Top,male,"Vienna, Austria",2010-11-15,POSITIVO
3da5bc95-a692-4ae6-a415-2754757662ae,It handles large feeds without feeling heavy.,female,"Guayaquil, Ecuador",2014-03-03,POSITIVO
2590c4ca-7db6-4b0d-9c5c-70abdc75e643,"So far, i always find interesting content without searching. It adds to the overall experience.",male,"Jeddah, Saudi Arabia",2011-08-11,POSITIVO
eca8c489-8bcd-4560-97da-6286519c82a2,Better,male,"Addis Ababa, Ethiopia",2018-01-20,NEUTRO
e3aa2c7b-8b3e-46f0-ab01-7552a6fc2e82,I’d say content discovery is very easy. It keeps things simple.,male,"Hanoi, Vietnam",2011-08-27,POSITIVO
ac94f57f-f773-4d4c-bab3-26a924195a48,Nice app 👍👍,female,"Adelaide, Australia",2015-03-25,POSITIVO
35fd2509-922b-4aba-b010-b7d4846f16e3,A i l,female,"Auckland, New Zealand",2014-11-18,POSITIVO
beca12e8-4876-4047-a69f-6b2d4f33a6e3,BEST APPLICATION EVER,female,"Hobart, Australia",2014-11-08,POSITIVO
d84f3a7b-cbd6-4a38-9f1a-b4d040579f7b,Good app,female,"São Paulo, Brazil",2014-06-30,POSITIVO
e6fbb929-7509-4c3d-b9d5-110464a0a48e,Nice,male,"Mexico City, Mexico",2013-01-05,POSITIVO
b6e6a34f-f33b-4684-861a-4c3c649cd8ab,"So far, i like having multiple features in one app. It makes using the app enjoyable.",male,"Riyadh, Saudi Arabia",2011-08-26,POSITIVO
