reviewId,content,gender,location,date,score
3082e58b-222e-4824-a43d-4e0b39bd0257,One issue is that you need to pay to get visibility. It slows things down.,male,"Vienna, Austria",2018-11-02,2
6c7536ba-3244-4c7d-b86a-d1d112914d2c,Cuvfsjh,male,"Busan, South Korea",2011-11-08,5
c8508979-8ec7-4897-8cba-251016e231cc,"So far, content discovery is very easy. It makes the experience better overall.",male,"Paris, France",2011-06-21,5
3a95772d-4cbe-4e8a-b0f2-27dfe85c3f10,Thats good 👍,female,"La Paz, Bolivia",2014-04-09,5
cfe99d4d-a4fe-4c7c-8805-141c715dcb7a,"Good go to when I'm bored. See a lot of interesting stuff. Hoping to see my boy, Ian Taylor ""Burnside"", album blow up on here. To the moon son. You got this!!",male,"San Francisco, United States",2013-01-09,5
1fe801cb-8ab4-414a-ba44-bf126458620c,I like the app and more information and knowledgeful tips many more.Super reels but reels copy don't post Stories copyright problem,male,"Stockholm, Sweden",2013-11-22,4
c14a394d-7667-4403-88ee-da4c894eaa1a,Good,male,"Abu Dhabi, United Arab Emirates",2012-02-27,5
90f91fb5-d275-4244-831a-26f32d06a5b8,Nice app,male,"Addis Ababa, Ethiopia",2012-11-20,5
5270059c-1733-4691-8893-e5f78b3f40ca,Good,male,"Phuket, Thailand",2011-07-19,5
94039cf6-8b1a-401a-a487-593b5d8689f5,Very nyc app 👍👍,male,"Glasgow, United Kingdom",2011-04-20,5
7d5f0422-49e3-45aa-8a13-34bb4b19a5a3,Haseeb Khan -gf cg ttttttt ttttttt HC gigs in the world to me that he was so much for your support of school of school of school of school of school of school of school of school of school of school of school of school of school of school of school of school of school of school of school of school of school of school of school of school has a really remember that you are not going to have been on my way give me a ttttttt HC gigs in the,female,"Sydney, Australia",2014-11-19,5
2772e3be-5a2d-41c8-a54a-d3b2f3313a91,"Very interesting app. Fast, strees free and no ads. Fast and accurate with great features.",male,"Bangkok, Thailand",2011-12-14,5
6d471418-2017-4d34-9f46-b225252e656a,The best app👌,male,"Phoenix, United States",2013-06-08,5
45972b6e-a531-40bf-b43e-659b4d3ae1b9,Very best app,male,"Kuala Lumpur, Malaysia",2011-07-14,5
b102900b-96c3-407d-a8f5-a9911c3d2173,"For me, it feels like everything is about Reels now. It makes the app harder to enjoy.",female,"Port Moresby, Papua New Guinea",2025-06-27,1
0ff66634-3397-4132-a173-e0107c7dd9c1,Superb😘🤩,male,"Taipei, Taiwan",2012-02-27,5
8de7622b-d091-4ab0-887a-e59ba2879857,Nice 👌 app if it was not for the loading time of the reels,male,"Rabat, Morocco",2022-11-26,1
5e87cfa3-5bd3-4f85-b516-f722d7b248fc,kpop love,male,"Tripoli, Libya",2012-10-19,5
356bd986-ea6b-4471-9aae-17ea27d4b87c,Good app and user friendly,male,"Harare, Zimbabwe",2012-05-17,5
3fbe2f98-e32b-43ee-a20c-c0643b429310,Waw good,female,"Melbourne, Australia",2014-11-20,5
bc56a3fb-6fa2-4a1b-9b0a-f7c026f9e4db,Instagram is power 💪 aap,male,"Beijing, China",2011-11-15,5
16fd9260-7f70-44c7-bd14-943090100622,Fiza,female,"Gold Coast, Australia",2014-08-16,5
74647201-eb9a-40ca-aba0-eaca51ac18b0,Best app 💯💯💯💯,male,"Philadelphia, United States",2013-03-26,5
42c95b99-3fa0-4dbd-aa20-05a799b2721a,Super,male,"Cairo, Egypt",2012-08-05,5
ebe1db41-7c64-4750-a7d6-8a60afc9a5ff,I’d say it makes me compare myself too much. It makes the app harder to enjoy.,female,"Port Moresby, Papua New Guinea",2025-12-09,1
24cb577d-c0e1-4d98-b5d0-06fb91b8a63c,I love this app .,female,"Port Moresby, Papua New Guinea",2015-04-17,5
7b3ed411-686a-4342-bcf8-b5b7437cb250,ok ok,female,"Brisbane, Australia",2017-11-14,4
d3e8398d-3160-48c2-b0b1-142637b712d1,I love instagram and my love li,male,"Mexico City, Mexico",2013-08-09,5
a1a0f076-dad6-48dd-8259-e62462d14dc0,It's to good 😊😊👍👍👍,male,"Chennai, India",2011-12-11,5
