cluster_id,n_instancias,rank,palabra,prob_lda
0,174,1,good,0.02556
0,174,2,time,0.0235
0,174,3,app,0.01589
0,174,4,much,0.01207
0,174,5,face,0.01172
0,174,6,people,0.0108
0,174,7,instagram,0.01067
0,174,8,security,0.01009
0,174,9,story,0.01004
0,174,10,account,0.00997
1,191,1,app,0.02548
1,191,2,many,0.01964
1,191,3,account,0.01702
1,191,4,could,0.01456
1,191,5,bot,0.01318
1,191,6,fake,0.01297
1,191,7,fake account,0.01297
1,191,8,bot fake,0.0126
1,191,9,many bot,0.0126
1,191,10,improved,0.01253
2,153,1,need,0.025
2,153,2,reel,0.02203
2,153,3,get visibility,0.02185
2,153,4,need pay,0.02185
2,153,5,visibility,0.02185
2,153,6,pay get,0.02185
2,153,7,pay,0.02185
2,153,8,get,0.02185
2,153,9,like,0.02177
2,153,10,feel like,0.02098
3,151,1,post,0.02473
3,151,2,barely,0.02204
3,151,3,reach,0.0217
3,151,4,post barely,0.0217
3,151,5,anyone anymore,0.0217
3,151,6,barely reach,0.0217
3,151,7,reach anyone,0.0217
3,151,8,anymore,0.02157
3,151,9,anyone,0.02156
3,151,10,grow,0.01662
4,117,1,got,0.02537
4,117,2,without,0.02519
4,117,3,account got,0.02464
4,117,4,restricted,0.02408
4,117,5,reason,0.02404
4,117,6,clear,0.02398
4,117,7,without clear,0.02396
4,117,8,clear reason,0.02396
4,117,9,restricted without,0.02396
4,117,10,got restricted,0.02396
5,255,1,make,0.02977
5,255,2,experience,0.01853
5,255,3,keep,0.01797
5,255,4,enjoyable,0.01651
5,255,5,less enjoyable,0.01651
5,255,6,make experience,0.01651
5,255,7,experience less,0.01651
5,255,8,less,0.01647
5,255,9,content,0.01646
5,255,10,harder,0.0164
