cluster_id,n_instancias,rank,palabra,prob_lda
0,68,1,get,0.04591
0,68,2,grow,0.0437
0,68,3,need,0.04175
0,68,4,many,0.04003
0,68,5,pay,0.03602
0,68,6,visibility,0.03602
0,68,7,fake,0.03526
0,68,8,harder,0.03515
0,68,9,bot,0.03441
0,68,10,make,0.03341
1,94,1,make,0.05164
1,94,2,keep,0.04602
1,94,3,face,0.03814
1,94,4,content,0.03798
1,94,5,seeing,0.03719
1,94,6,repeatedly,0.03719
1,94,7,compare,0.03356
1,94,8,much,0.03195
1,94,9,reel,0.03032
1,94,10,like,0.02668
2,58,1,app,0.06302
2,58,2,post,0.05105
2,58,3,anyone,0.03977
2,58,4,reach,0.03865
2,58,5,barely,0.03865
2,58,6,anymore,0.03771
2,58,7,complicated,0.03222
2,58,8,feel,0.027
2,58,9,experience,0.01938
2,58,10,slows,0.01754
3,37,1,could,0.05392
3,37,2,improved,0.04429
3,37,3,reel,0.04257
3,37,4,definitely,0.04113
3,37,5,part,0.04113
3,37,6,bad,0.02679
3,37,7,poor,0.02342
3,37,8,hai,0.02177
3,37,9,issue,0.0172
3,37,10,hand,0.01683
4,102,1,account,0.03933
4,102,2,good,0.03883
4,102,3,got,0.03349
4,102,4,without,0.03152
4,102,5,issue,0.03141
4,102,6,restricted,0.02981
4,102,7,reason,0.02873
4,102,8,clear,0.0283
4,102,9,one,0.02628
4,102,10,user,0.02193
5,50,1,time,0.06737
5,50,2,access,0.0409
5,50,3,nice,0.03796
5,50,4,story,0.02602
5,50,5,song,0.0243
5,50,6,every,0.02375
5,50,7,app,0.02085
5,50,8,reel,0.02083
5,50,9,many,0.01905
5,50,10,instagram,0.01829
