cluster_id,n_instancias,rank,palabra,peso_medio
0,538,1,app,0.05426
0,538,2,instagram,0.04241
0,538,3,reel,0.04029
0,538,4,face,0.0387
0,538,5,account,0.03249
0,538,6,time,0.03091
0,538,7,good,0.03067
0,538,8,please,0.02277
0,538,9,story,0.02254
0,538,10,problem,0.02156
1,50,1,reach,0.36187
1,50,2,barely,0.36012
1,50,3,anyone,0.35507
1,50,4,anymore,0.35507
1,50,5,post,0.31171
1,50,6,harder,0.10159
1,50,7,make,0.09161
1,50,8,grow,0.07752
1,50,9,main,0.0672
1,50,10,repetitive,0.05934
2,52,1,keep,0.39995
2,52,2,repeatedly,0.37673
2,52,3,seeing,0.37312
2,52,4,content,0.37137
2,52,5,harder,0.07313
2,52,6,make,0.0729
2,52,7,honestly,0.06027
2,52,8,frustrating,0.04968
2,52,9,bother,0.04704
2,52,10,say,0.04331
3,101,1,engagement,0.19935
3,101,2,little,0.19935
3,101,3,need,0.19837
3,101,4,visibility,0.1947
3,101,5,pay,0.1947
3,101,6,follower,0.19383
3,101,7,get,0.18172
3,101,8,make,0.09574
3,101,9,harder,0.07731
3,101,10,slows,0.07391
4,300,1,feel,0.14971
4,300,2,make,0.13888
4,300,3,like,0.08769
4,300,4,account,0.08764
4,300,5,grow,0.0832
4,300,6,app,0.08084
4,300,7,experience,0.07435
4,300,8,complicated,0.07389
4,300,9,harder,0.07215
4,300,10,compare,0.07077
