cluster_id,n_instancias,rank,palabra,prob_lda
0,172,1,many,0.05021
0,172,2,fake,0.04409
0,172,3,bot,0.04366
0,172,4,make,0.03802
0,172,5,account,0.03783
0,172,6,much,0.03752
0,172,7,compare,0.03665
0,172,8,enjoyable,0.02841
0,172,9,less,0.02807
0,172,10,experience,0.02522
1,141,1,face,0.0472
1,141,2,good,0.04259
1,141,3,app,0.02446
1,141,4,account,0.01743
1,141,5,locked,0.01653
1,141,6,access,0.01553
1,141,7,frequently,0.01481
1,141,8,smiling,0.01267
1,141,9,much,0.01261
1,141,10,instagram,0.01221
2,184,1,feel,0.08409
2,184,2,app,0.05451
2,184,3,like,0.04869
2,184,4,grow,0.04429
2,184,5,complicated,0.04035
2,184,6,everything,0.03903
2,184,7,harder,0.03672
2,184,8,make,0.03635
2,184,9,sometimes,0.03612
2,184,10,organically,0.036
3,165,1,instagram,0.03719
3,165,2,please,0.02156
3,165,3,reel,0.02021
3,165,4,app,0.01929
3,165,5,story,0.019
3,165,6,help,0.01662
3,165,7,update,0.01568
3,165,8,hai,0.01294
3,165,9,post,0.01242
3,165,10,reply,0.01195
4,311,1,thing,0.03526
4,311,2,slows,0.0351
4,311,3,get,0.02876
4,311,4,keep,0.02733
4,311,5,make,0.02712
4,311,6,seeing,0.0251
4,311,7,content,0.02507
4,311,8,need,0.02464
4,311,9,repeatedly,0.02462
4,311,10,follower,0.02369
5,68,1,feeling,0.06991
5,68,2,repetitive,0.06991
5,68,3,end,0.06987
5,68,4,add,0.02006
5,68,5,security,0.01932
5,68,6,people,0.015
5,68,7,best,0.01134
5,68,8,phone,0.01058
5,68,9,trying,0.01048
5,68,10,much,0.01038
