cluster_id,n_instancias,rank,palabra,peso_medio
0,102,1,concerned,0.20591
0,102,2,privacy,0.20488
0,102,3,data,0.19911
0,102,4,part,0.19808
0,102,5,definitely,0.19808
0,102,6,improved,0.19808
0,102,7,could,0.19402
0,102,8,experience,0.05276
0,102,9,wanted,0.04935
0,102,10,make,0.04775
1,50,1,scrolling,0.36008
1,50,2,lose,0.36008
1,50,3,track,0.36008
1,50,4,time,0.3282
1,50,5,tiktok,0.25496
1,50,6,experience,0.11358
1,50,7,make,0.08344
1,50,8,becomes,0.07914
1,50,9,overwhelming,0.07914
1,50,10,less,0.06947
2,104,1,get,0.19392
2,104,2,promotion,0.1889
2,104,3,ad,0.18524
2,104,4,many,0.18022
2,104,5,randomly,0.15768
2,104,6,others,0.15689
2,104,7,view,0.15462
2,104,8,video,0.13424
2,104,9,make,0.08958
2,104,10,frustrating,0.0871
3,241,1,keep,0.11837
3,241,2,content,0.1173
3,241,3,make,0.11495
3,241,4,hard,0.10557
3,241,5,experience,0.08116
3,241,6,much,0.0756
3,241,7,focus,0.07528
3,241,8,using,0.07347
3,241,9,repeatedly,0.07031
3,241,10,seeing,0.07031
4,424,1,tiktok,0.06822
4,424,2,update,0.05036
4,424,3,app,0.0456
4,424,4,face,0.04409
4,424,5,good,0.04117
4,424,6,like,0.03363
4,424,7,please,0.02686
4,424,8,video,0.0267
4,424,9,account,0.02449
4,424,10,cant,0.02333
