cluster_id,n_instancias,rank,palabra,prob_lda
0,288,1,app,0.045
0,288,2,ad,0.02859
0,288,3,many,0.02845
0,288,4,tiktok,0.0278
0,288,5,update,0.02774
0,288,6,promotion,0.02706
0,288,7,experience,0.02493
0,288,8,make,0.0248
0,288,9,enjoyable,0.02333
0,288,10,less,0.02331
1,389,1,content,0.03707
1,389,2,keep,0.03701
1,389,3,get,0.0304
1,389,4,make,0.0281
1,389,5,harder,0.02546
1,389,6,focused,0.02546
1,389,7,stay,0.02545
1,389,8,hard,0.02537
1,389,9,video,0.02399
1,389,10,much,0.02373
2,244,1,data,0.03259
2,244,2,privacy,0.03167
2,244,3,concerned,0.03122
2,244,4,comment,0.03053
2,244,5,toxic,0.02931
2,244,6,section,0.0293
2,244,7,time,0.02869
2,244,8,tiktok,0.02841
2,244,9,track,0.02681
2,244,10,scrolling,0.0268
