cluster_id,n_instancias,rank,palabra,prob_lda
0,1735,1,nice,0.09839
0,1735,2,app,0.05091
0,1735,3,best,0.03041
0,1735,4,love,0.02765
0,1735,5,super,0.02537
0,1735,6,instagram,0.01907
0,1735,7,like,0.01651
0,1735,8,thumb,0.01633
0,1735,9,content,0.01116
0,1735,10,aap,0.0108
1,954,1,heart,0.03274
1,954,2,face,0.02774
1,954,3,nice app,0.0276
1,954,4,smiling,0.02256
1,954,5,smiling face,0.01835
1,954,6,red,0.01742
1,954,7,red heart,0.01742
1,954,8,amazing,0.01578
1,954,9,reel,0.01505
1,954,10,app,0.01285
2,1010,1,good,0.11433
2,1010,2,great,0.02512
2,1010,3,good app,0.01957
2,1010,4,experience,0.01892
2,1010,5,app,0.01449
2,1010,6,overall,0.01288
2,1010,7,excellent,0.01169
2,1010,8,thing,0.01123
2,1010,9,awesome,0.01122
2,1010,10,one,0.01119
