cluster_id,n_instancias,rank,palabra,prob_lda
0,836,1,good,0.29582
0,836,2,app,0.09883
0,836,3,super,0.06347
0,836,4,thumb,0.05259
0,836,5,great,0.03519
0,836,6,aap,0.03322
0,836,7,awesome,0.032
0,836,8,ok,0.02846
0,836,9,feel,0.02474
0,836,10,smooth,0.02322
1,1256,1,best,0.05726
1,1256,2,like,0.05179
1,1256,3,experience,0.03814
1,1256,4,app,0.0327
1,1256,5,overall,0.02588
1,1256,6,one,0.02519
1,1256,7,thing,0.02312
1,1256,8,great,0.02249
1,1256,9,really,0.02204
1,1256,10,make,0.02125
2,686,1,heart,0.08731
2,686,2,face,0.07264
2,686,3,smiling,0.06038
2,686,4,red,0.04576
2,686,5,eye,0.03387
2,686,6,instagram,0.03024
2,686,7,growing,0.02242
2,686,8,interesting,0.01895
2,686,9,please,0.01862
2,686,10,always,0.0185
3,361,1,love,0.11603
3,361,2,amazing,0.06158
3,361,3,easy,0.04103
3,361,4,app,0.03927
3,361,5,show,0.03459
3,361,6,discovery,0.03404
3,361,7,feed,0.03251
3,361,8,content,0.03227
3,361,9,far,0.03129
3,361,10,use,0.02417
4,560,1,nice,0.34186
4,560,2,app,0.08525
4,560,3,stand,0.04918
4,560,4,excellent,0.04003
4,560,5,cool,0.02162
4,560,6,desconocido,0.0184
4,560,7,star,0.01752
4,560,8,wonderful,0.01575
4,560,9,superb,0.01369
4,560,10,useful,0.01051
