cluster_id,n_instancias,rank,palabra,peso_medio
0,262,1,tiktok,0.43704
0,262,2,love,0.08562
0,262,3,like,0.05831
0,262,4,good,0.03613
0,262,5,video,0.02611
0,262,6,fun,0.02481
0,262,7,thank,0.02333
0,262,8,app,0.02317
0,262,9,nice,0.02297
0,262,10,happy,0.02177
1,429,1,good,0.93703
1,429,2,app,0.05235
1,429,3,thumb,0.01411
1,429,4,apps,0.013
1,429,5,far,0.00614
1,429,6,experience,0.00574
1,429,7,fun,0.00492
1,429,8,entertainment,0.0041
1,429,9,thing,0.00394
1,429,10,really,0.00385
2,262,1,nice,0.84735
2,262,2,app,0.10033
2,262,3,apps,0.06009
2,262,4,good,0.02754
2,262,5,thumb,0.00929
2,262,6,like,0.00885
2,262,7,tiktok,0.00804
2,262,8,use,0.00752
2,262,9,super,0.00658
2,262,10,verry,0.00658
3,2805,1,app,0.05279
3,2805,2,like,0.03926
3,2805,3,love,0.03663
3,2805,4,face,0.03286
3,2805,5,ok,0.03124
3,2805,6,heart,0.02871
3,2805,7,smiling,0.02587
3,2805,8,great,0.02531
3,2805,9,fun,0.02471
3,2805,10,best,0.02342
