cluster_id,n_instancias,rank,palabra,prob_lda
0,542,1,love,0.06644
0,542,2,face,0.04764
0,542,3,smiling,0.04373
0,542,4,smiling face,0.03391
0,542,5,happy,0.03317
0,542,6,eye,0.02768
0,542,7,heart,0.02642
0,542,8,face heart,0.0218
0,542,9,awesome,0.01917
0,542,10,face smiling,0.01447
1,788,1,nice,0.14319
1,788,2,tiktok,0.05012
1,788,3,app,0.04905
1,788,4,cool,0.03472
1,788,5,best,0.0326
1,788,6,red,0.01997
1,788,7,red heart,0.01997
1,788,8,heart,0.0198
1,788,9,good app,0.01737
1,788,10,love,0.01475
2,1314,1,good,0.20752
2,1314,2,like,0.04156
2,1314,3,fun,0.03075
2,1314,4,desconocido,0.02271
2,1314,5,amazing,0.01878
2,1314,6,apps,0.01578
2,1314,7,use,0.01521
2,1314,8,entertaining,0.01477
2,1314,9,always,0.01414
2,1314,10,easy,0.01316
3,680,1,ok,0.03681
3,680,2,great,0.0282
3,680,3,really,0.02196
3,680,4,thumb,0.01655
3,680,5,thing,0.01616
3,680,6,app,0.01532
3,680,7,experience,0.01466
3,680,8,enjoy,0.01231
3,680,9,well,0.01207
3,680,10,work,0.01139
4,434,1,nice app,0.02836
4,434,2,wow,0.02598
4,434,3,help,0.02147
4,434,4,star,0.01813
4,434,5,discover,0.01668
4,434,6,creator,0.01628
4,434,7,help discover,0.01569
4,434,8,new creator,0.01569
4,434,9,discover new,0.01569
4,434,10,new,0.0154
