cluster_id,n_instancias,rank,palabra,prob_lda
0,792,1,experience,0.03842
0,792,2,really,0.03397
0,792,3,make,0.02961
0,792,4,stand,0.02567
0,792,5,something,0.02389
0,792,6,new,0.02385
0,792,7,thumb,0.02344
0,792,8,overall,0.02284
0,792,9,always,0.02133
0,792,10,video,0.02085
1,515,1,best,0.05687
1,515,2,cool,0.05461
1,515,3,great,0.05091
1,515,4,desconocido,0.04584
1,515,5,keep,0.03379
1,515,6,exciting,0.03207
1,515,7,thing,0.0284
1,515,8,excellent,0.0193
1,515,9,super,0.01764
1,515,10,enjoying,0.01635
2,821,1,like,0.08492
2,821,2,love,0.08234
2,821,3,tiktok,0.06572
2,821,4,ok,0.05734
2,821,5,use,0.03248
2,821,6,amazing,0.02881
2,821,7,red,0.02755
2,821,8,easy,0.02618
2,821,9,heart,0.02189
2,821,10,platform,0.0206
3,1630,1,good,0.23674
3,1630,2,nice,0.12267
3,1630,3,app,0.07894
3,1630,4,face,0.04815
3,1630,5,smiling,0.03911
3,1630,6,happy,0.03156
3,1630,7,fun,0.02954
3,1630,8,heart,0.02901
3,1630,9,apps,0.0271
3,1630,10,eye,0.02435
