reviewId,content,gender,location,date,score,cluster_id,prob_topico_0,prob_topico_1,prob_topico_2,prob_topico_3
015373e3-0ad6-49df-8166-b7efca86d6b0,เอาขึ้นฟีดด้วย,male,"Santa Cruz, Bolivia",2023-08-27,POSITIVO,1,0.1546659,0.49101686,0.14621739,0.20809984
65f92de1-42bd-42db-8e83-2483184fe212,Enjoying it,male,"Accra, Ghana",2022-10-07,POSITIVO,1,0.1546785,0.49095997,0.1462335,0.20812799
e5742d9e-9700-4495-ba4a-abb77834ebf4,This is so nice I don't like TikTok Lita because it's so hard to edit on there on here is ez,male,"Beijing, China",2022-04-16,POSITIVO,2,0.23195736,0.075139545,0.49042168,0.20248148
aee516d4-5b39-440f-a2fa-423b6f330f42,Mee is lab teh upp bikuz its so meni prity gerls,male,"Delhi, India",2022-01-05,POSITIVO,3,0.15486015,0.11159713,0.1464529,0.5870898
6a6f5995-3b9f-4cd1-98f9-13d8a058d8e0,I love this but sometimes it lag but I still like it but please update this for more more more more downloads but I'm gonna rate it 4 hahah bye,male,"Valencia, Spain",2021-08-27,POSITIVO,1,0.08921453,0.43325248,0.31129012,0.1662429
c5ac39fb-b1fe-4707-b430-a79f65596488,Good a bit,female,"Asunción, Paraguay",2023-10-01,POSITIVO,1,0.14027312,0.4222645,0.13269123,0.3047711
7c824a42-1e0f-4629-a48a-57f4ee4d7b32,This app is so nice.,male,"Seattle, United States",2022-11-18,POSITIVO,3,0.1366971,0.09690462,0.12726618,0.639132
7c2851e8-dfad-4edc-a362-98bccdfdb856,Good,male,"Osaka, Japan",2022-05-29,POSITIVO,3,0.1546615,0.1114569,0.14621124,0.5876704
430fad2d-98cf-4bb7-8c6a-4794e1d65cf5,"i, give rate 4 star",male,"Zurich, Switzerland",2021-11-05,POSITIVO,3,0.12170902,0.09005175,0.114811055,0.6734282
5a5ff9c7-b37a-4b08-8946-bfd7e3b346a6,Min Aung Hlaing Ma A Loe,male,"Fortaleza, Brazil",2023-08-04,POSITIVO,3,0.24928574,0.1796488,0.23566607,0.33539936
93a92dd5-0f6b-4e46-9e15-cc1c7e49a7fa,How to update missing my effect,female,"Nadi, Fiji",2024-01-06,POSITIVO,2,0.13415486,0.09668056,0.5886198,0.18054478
ffcb353e-1432-4d5c-bd0c-4179696d4c35,Ok,male,"Windhoek, Namibia",2022-07-08,POSITIVO,2,0.15466426,0.11145948,0.5257776,0.20809864
41026b12-ce28-4e5a-91d1-cdfd174332f9,Dis app is awesome but my 2 account is ban by u ban my tiktok 😭😭😭😭😭👅👅👅👅🇵🇭Just remove my account warning,male,"Tripoli, Libya",2022-10-18,POSITIVO,2,0.09223091,0.17479907,0.5141763,0.21879369
8aa036eb-48f5-4c10-b139-b85da5d70d83,Nice..,female,"Perth, Australia",2024-04-05,POSITIVO,3,0.15466167,0.1114575,0.14621235,0.5876685
47691f7e-356c-4c7a-8e96-c8d875ca32ba,Not bad☺️✋,male,"Hanoi, Vietnam",2022-05-21,POSITIVO,3,0.107389264,0.077390365,0.101548776,0.7136716
