reviewId,content,gender,location,date,score
38e79664-42aa-4fff-a3d7-08c831778153,I can't able to see any comments of anyone post & also my insta front is white and can't able to see my following people recent post please solve this problem quickly.,male,"Cape Town, South Africa",2023-05-02,NEGATIVO
48f19e98-3d26-4b3c-bb89-80db6639ff46,Respected Instagram admin: I am very happy to use this app.But I am unable to add to story any video please fix this bug as soon as possible. The app is somewhat distructive.And I am unable to add highlight. I hope that the admin will fix the bug as soon as possible And this the most worstttttt app I had ever seen 🙏,male,"Prague, Czech Republic",2021-06-05,NEGATIVO
b734b40b-a340-4d0d-8eb1-a75033ec1a7d,I can't see filters in the camera please help,male,"Krakow, Poland",2022-02-05,NEGATIVO
4cd3dd11-4264-470a-803b-17739b188222,Good. Easy to use,male,"Edinburgh, United Kingdom",2021-11-06,NEGATIVO
fcac57c4-e9d0-45be-8320-8c431d97a923,professor,male,"Karachi, Pakistan",2022-04-12,NEGATIVO
19ff382f-7ff8-4364-a539-450b9f7909f1,Great,male,"Algiers, Algeria",2023-01-03,NEGATIVO
2b42e21a-f61b-4c3b-9deb-5e5921ccf87e,Every time new real results vertical opposite ( 180 degree roatated,male,"Tripoli, Libya",2023-05-06,NEGATIVO
41d0bc05-648c-4b67-b806-54958d667b26,𝓜𝓻..𝓗𝓲𝓽𝓽𝓾.𝓷𝓪𝓷𝓸𝓶𝓪,male,"Karachi, Pakistan",2022-05-12,NEGATIVO
d4af2421-be65-4409-99fa-2aa89be8c42e,Very bad I am unfollowing and it again following automatically,male,"Auckland, New Zealand",2025-06-10,NEGATIVO
c817ce44-2d28-4e9b-ad89-e6c3fcf6631d,I can't get access to my Instagram account because I don't have access to the email and phone number I signed up with... I tried everything.. video selfie.. almost everything... I'm not making another account please may I have my account back,male,"Rabat, Morocco",2023-05-03,NEGATIVO
2404dc8c-8fde-4176-a76f-eb2ec5a72a9d,There is a problem with reels,male,"Phuket, Thailand",2022-05-02,NEGATIVO
02a07fa5-1fad-411f-a907-91392f9d5c54,Man i hate this app i cant send photos all together i have to send it one by one and some dont even send i cant even log back in my main acc anymore it all my friends and gcs were there and i even list my 1k followers gitchs alot sometimes doesnt even let me text i would have deleted this app ages ago if my friends were on them i hate it nothing can change my mind anymore,male,"Rio de Janeiro, Brazil",2025-02-01,NEGATIVO
aab32ef7-8aa4-4773-8a3f-0474ee893ef6,"Hi please upgret instagram, A new to full Tu upgred An new adavas phichar",female,"Queenstown, New Zealand",2025-11-08,NEGATIVO
39bd5872-43be-4271-b5e3-56bc32f09c38,It's not good 😏😏,male,"Dubai, United Arab Emirates",2022-11-10,NEGATIVO
752474ca-1b47-44fb-b89e-9d90aae80686,It's hard getting start up or if you've been in here for years. No likes No comments No followers TikTok is way better.,male,"Guayaquil, Ecuador",2024-08-04,NEGATIVO
bfdae039-e272-4cf5-93c1-d42c0985de78,All my reels are posting upside down,male,"Wellington, New Zealand",2025-06-07,NEGATIVO
2ec1213a-50cf-4d81-b122-927bcacacc5b,"I can no longer upload photos or uninstall or reinstall this app. I get a message ""something went wrong"" and no error code, no clues how to fix. Since I can't uninstall it or reinstall it, don't bother suggesting that. It's just dead on my PC. I'd have to try using a cell phone to upload photos. Dumb.",female,"Canberra, Australia",2025-07-08,NEGATIVO
0000c389-503f-408b-a8f4-daed5f559696,Suspended and deactivated my account and the appeal option didn't work,male,"Madrid, Spain",2021-08-09,NEGATIVO
c20f7d78-a805-4bbb-9f8b-54311c25c0d4,"After update,my reels option has vanished 😤😤",male,"Gold Coast, Australia",2025-06-10,NEGATIVO
