reviewId,content,gender,location,date,score
0eba1282-cba6-4f43-9dff-7db7bbc38a06,Repetitive af. Trying so hard to be tiktok+snapchat. Hate the subscription feature and the freaking ads everywhere.,male,"Cancun, Mexico",2018-04-26,NEUTRO
1b3a86ee-c5ce-4163-b8aa-1ce2648333ed,Some times reel are stuck,male,"Lahore, Pakistan",2017-03-10,NEUTRO
cfbcfab6-86a5-4856-8a97-2c92c9ffd8ee,"Burns up more of my day than I'd like, but. there are some interesting items on occasion.",female,"Sydney, Australia",2020-06-12,NEUTRO
6f8a7daf-9866-4cca-95c7-471137c34a9a,Goof,female,"Adelaide, Australia",2020-05-29,NEUTRO
c09dfe7f-82de-4842-9878-dac32426aed0,Awesome ❤️,male,"Austin, United States",2018-11-25,NEUTRO
d12af347-06a5-4a0a-b639-f8a0b60d9b4a,Ads payment is very higher,female,"Port Moresby, Papua New Guinea",2020-07-17,NEUTRO
dd05612f-6ea1-49e3-8054-36dff0a29545,Viral my one video please,male,"Nairobi, Kenya",2017-09-02,NEUTRO
9f275707-76af-4da3-b68c-0505dd68e89b,Bad,female,"Wellington, New Zealand",2020-03-13,NEUTRO
05fa9cb2-c1b1-4581-bdf1-e6b4e84de74f,I like insta but video download to gallery options chahiye,male,"Accra, Ghana",2018-01-30,NEUTRO
9a407a0c-47a3-4ccf-9f70-edec8fb28aab,Thx,male,"Doha, Qatar",2017-03-04,NEUTRO
f88f152f-f616-4a03-9b7d-4bfcabed5a90,Hjm on JJ j,female,"Port Moresby, Papua New Guinea",2020-05-24,NEUTRO
3041b06d-bf4e-4eb8-a67d-fc675376fed5,"G g,,y,you.you NJ",male,"São Paulo, Brazil",2019-03-23,NEUTRO
c2aba1d8-7c53-4f2a-907d-860b0622f508,"Something happened to my account. A lot of songs are shown as ""The song is currently unavailable"" on my account.. Please Help.",male,"Barcelona, Spain",2016-05-23,NEUTRO
bafdfae1-818b-4a89-9520-93b9732d2632,"You update every day, but there is still a problem, or one of the options is disabled, or there are no rails, or there is no single story for it.",female,"Nadi, Fiji",2020-01-27,NEUTRO
46427f96-fd6f-40cb-8c14-1fb415cea485,nice,male,"Rosario, Argentina",2019-04-20,NEUTRO
b00dc834-69f7-4586-beca-def2667dec90,.........................................................................................................................................................................................................................................................................................................................................................................................................................................................................I am unable on load effects on instagram ..,male,"Montreal, Canada",2018-11-10,NEUTRO
f7c1b0a8-f7d5-41c4-b375-d4380514478a,5 G IS A GOOD IDEA TO GET THE BEST 3334RBDEJ3JWJQRJ5J4DEDRD4WJEHD 4D5 3WED4ST3jqjhh5hz5ah,male,"Medellín, Colombia",2019-06-11,NEUTRO
